ST,0+3+4+5+6+7+8+9+33+34+35+41
ST061219,5
ST062211,4+5
ST062212,5
ST062213,5
ST062214,5
ST062215,5
ST062216,5
ST062217,5
ST062218,5
ST062219,5
ST063211,4+5
ST063212,4+5
ST063213,5
ST063214,5
ST063215,5
ST063216,5
ST063217,5
ST063218,5
ST063219,5
ST064212,4+5
ST064213,5
ST064214,5
ST064215,5
ST064216,5
ST064217,5
ST064218,5
ST064219,5
ST065211,4+5
ST065212,4+5
ST065213,5
ST065214,5
ST065215,5
ST065216,5
ST065217,5
ST065218,5
ST065219,5
ST066210,4+5
ST066211,4+5
ST066212,5
ST066213,5
ST066214,5
ST066215,5
ST066216,5
ST066217,5
ST066218,5
ST066219,5
ST067210,4+5
ST067211,5
ST067212,5
ST067213,5
ST067214,5
ST067215,5
ST067216,5
ST067217,5
ST067218,5
ST067219,5
ST068210,5
ST068211,5
ST068212,5
ST068213,5
ST068214,5
ST068215,5
ST068216,5
ST068217,5
ST068218,5
ST068219,5
ST069210,5
ST069211,5
ST069212,5
ST069213,5
ST069214,5
ST069215,5
ST069216,5
ST069217,5
ST069218,5
ST069219,5
ST0720,4+5
ST070207,4+5
ST070208,4+5
ST070209,5
ST071202,4+5
ST071203,4+5
ST071204,4+5
ST071205,4+5
ST071206,4+5
ST071207,4+5
ST071208,5
ST071209,5
ST072201,4+5
ST072202,4+5
ST072203,4+5
ST072204,4+5
ST072205,4+5
ST072206,4+5
ST072207,5
ST072208,5
ST072209,5
ST073200,4+5
ST073201,4+5
ST073202,5
ST073203,5
ST073204,5
ST073205,5
ST073206,5
ST073207,5
ST073208,5
ST073209,5
ST074200,5
ST074201,5
ST074202,5
ST074203,5
ST074204,5
ST074205,5
ST074206,5
ST074207,5
ST074208,5
ST074209,5
ST075200,5
ST075201,5
ST075202,5
ST075203,5
ST075204,5
ST075205,5
ST075206,5
ST075207,5
ST075208,5
ST075209,5
ST076200,5
ST076201,5
ST076202,5
ST076203,5
ST076204,5
ST076205,5
ST076206,5
ST076207,5
ST076208,5
ST076209,5
ST077200,5
ST077201,5
ST077202,5
ST077203,5
ST077204,5
ST077205,5
ST077206,5
ST077207,5
ST077208,5
ST077209,5
ST078200,5
ST078201,5
ST078202,5
ST078203,5
ST078204,5
ST078205,5
ST078206,5
ST078207,5
ST078208,5
ST078209,5
ST079200,5
ST079201,5
ST079202,5
ST079203,5
ST079204,5
ST079205,5
ST079206,5
ST079207,5
ST079208,5
ST079209,5
ST0721,5
ST02R,5
ST02S,5
ST02T,5
ST02U,5
ST02V,5
ST02W,5
ST02X,5
ST02Y,5
ST02Z,5
ST03,5
ST04,0+5
ST04SW,0+5
ST04NW,0+5
ST04SE,0+5
ST04A,5
ST04B,5
ST04C,0+5
ST0044,5
ST0045,0+5
ST000450,5
ST000451,5
ST000452,5
ST000453,5
ST000454,5
ST000455,5
ST000456,5
ST000457,5
ST000458,5
ST000459,5
ST001450,5
ST001451,5
ST001452,5
ST001453,5
ST001454,5
ST001455,5
ST001456,5
ST001457,5
ST001458,5
ST001459,5
ST002450,5
ST002451,5
ST002452,5
ST002453,5
ST002454,5
ST002455,5
ST002456,5
ST002457,5
ST002458,5
ST002459,5
ST003450,5
ST003451,5
ST003452,5
ST003453,5
ST003454,5
ST003455,5
ST003456,5
ST003457,5
ST003458,5
ST003459,0+5
ST004450,5
ST004451,5
ST004452,5
ST004453,5
ST004454,5
ST004455,5
ST004456,5
ST004457,5
ST004458,5
ST004459,0+5
ST005450,5
ST005451,5
ST005452,5
ST005453,5
ST005454,5
ST005455,5
ST005456,5
ST005457,5
ST005458,0+5
ST005459,0+5
ST006450,5
ST006451,5
ST006452,5
ST006453,5
ST006454,5
ST006455,5
ST006456,0+5
ST006457,0+5
ST006458,0+5
ST007450,5
ST007451,5
ST007452,5
ST007453,5
ST007454,0+5
ST007455,0+5
ST007456,0+5
ST007457,0+5
ST008450,5
ST008451,5
ST008452,5
ST008453,0+5
ST008454,0+5
ST009450,5
ST009451,0+5
ST009452,0+5
ST009453,0+5
ST009454,0+5
ST0144,0+5
ST010440,5
ST010441,5
ST010442,5
ST010443,5
ST010444,5
ST010445,5
ST010446,5
ST010447,5
ST010448,5
ST010449,0+5
ST011440,5
ST011441,5
ST011442,5
ST011443,5
ST011444,5
ST011445,5
ST011446,5
ST011447,5
ST011448,0+5
ST011449,0+5
ST012440,5
ST012441,5
ST012442,5
ST012443,5
ST012444,5
ST012445,5
ST012446,5
ST012447,5
ST012448,0+5
ST013440,5
ST013441,5
ST013442,5
ST013443,5
ST013444,5
ST013445,5
ST013446,5
ST013447,0+5
ST013448,0+5
ST014440,5
ST014441,5
ST014442,5
ST014443,5
ST014444,5
ST014445,5
ST014446,5
ST014447,0+5
ST015440,5
ST015441,5
ST015442,5
ST015443,5
ST015444,5
ST015445,5
ST015446,0+5
ST015447,0+5
ST016440,5
ST016441,5
ST016442,5
ST016443,5
ST016444,5
ST016445,0+5
ST016446,0+5
ST017440,5
ST017441,5
ST017442,5
ST017443,5
ST017444,0+5
ST017445,0+5
ST018440,5
ST018441,5
ST018442,5
ST018443,0+5
ST018444,0+5
ST019440,5
ST019441,5
ST019442,5
ST019443,0+5
ST0145,0+5
ST010450,0+5
ST010451,0+5
ST04D,0+5
ST0046,0+5
ST000460,5
ST000461,0+5
ST001460,5
ST001461,0+5
ST002460,0+5
ST002461,0+5
ST003460,0+5
ST04F,5
ST04G,0+5
ST0242,5
ST0243,5
ST0342,5
ST0343,0+5
ST030430,5
ST030431,5
ST030432,5
ST030433,5
ST030434,5
ST030435,5
ST030436,5
ST030437,5
ST030438,5
ST030439,5
ST031430,5
ST031431,5
ST031432,5
ST031433,5
ST031434,5
ST031435,5
ST031436,5
ST031437,5
ST031438,5
ST031439,5
ST032430,5
ST032431,5
ST032432,5
ST032433,5
ST032434,5
ST032435,5
ST032436,5
ST032437,5
ST032438,5
ST032439,5
ST033430,5
ST033431,5
ST033432,5
ST033433,5
ST033434,5
ST033435,5
ST033436,5
ST033437,5
ST033438,5
ST033439,0+5
ST034430,5
ST034431,5
ST034432,5
ST034433,5
ST034434,5
ST034435,5
ST034436,5
ST034437,5
ST034438,5
ST034439,0+5
ST035430,5
ST035431,5
ST035432,5
ST035433,5
ST035434,5
ST035435,5
ST035436,5
ST035437,5
ST035438,5
ST035439,0+5
ST036430,5
ST036431,5
ST036432,5
ST036433,5
ST036434,5
ST036435,5
ST036436,5
ST036437,5
ST036438,5
ST036439,0+5
ST037430,5
ST037431,5
ST037432,5
ST037433,5
ST037434,5
ST037435,5
ST037436,5
ST037437,5
ST037438,0+5
ST037439,0+5
ST038430,5
ST038431,5
ST038432,5
ST038433,5
ST038434,5
ST038435,5
ST038436,5
ST038437,5
ST038438,0+5
ST038439,0+5
ST039430,5
ST039431,5
ST039432,5
ST039433,5
ST039434,5
ST039435,5
ST039436,5
ST039437,5
ST039438,5
ST039439,0+5
ST04H,0+5
ST0244,0+5
ST020440,5
ST020441,5
ST020442,0+5
ST020443,0+5
ST021440,5
ST021441,5
ST021442,0+5
ST022440,5
ST022441,0+5
ST022442,0+5
ST023440,5
ST023441,0+5
ST024440,5
ST024441,0+5
ST025440,5
ST025441,0+5
ST026440,5
ST026441,0+5
ST027440,5
ST027441,0+5
ST028440,5
ST028441,0+5
ST029440,5
ST029441,0+5
ST0344,0+5
ST030440,0+5
ST030441,0+5
ST031440,0+5
ST032440,0+5
ST033440,0+5
ST034440,0+5
ST035440,0+5
ST039440,0+5
ST04K,5
ST04L,0+5
ST0442,5
ST0443,0+5
ST040430,5
ST040431,5
ST040432,5
ST040433,5
ST040434,5
ST040435,5
ST040436,5
ST040437,5
ST040438,5
ST040439,0+5
ST041430,5
ST041431,5
ST041432,5
ST041433,5
ST041434,5
ST041435,5
ST041436,5
ST041437,5
ST041438,5
ST041439,0+5
ST042430,5
ST042431,5
ST042432,5
ST042433,5
ST042434,5
ST042435,5
ST042436,5
ST042437,5
ST042438,5
ST042439,0+5
ST043430,5
ST043431,5
ST043432,5
ST043433,5
ST043434,5
ST043435,5
ST043436,5
ST043437,5
ST043438,5
ST043439,0+5
ST044430,5
ST044431,5
ST044432,5
ST044433,5
ST044434,5
ST044435,5
ST044436,5
ST044437,5
ST044438,5
ST044439,0+5
ST045430,5
ST045431,5
ST045432,5
ST045433,5
ST045434,5
ST045435,5
ST045436,5
ST045437,5
ST045438,0+5
ST045439,0+5
ST046430,5
ST046431,5
ST046432,5
ST046433,5
ST046434,5
ST046435,5
ST046436,5
ST046437,5
ST046438,0+5
ST046439,0+5
ST047430,5
ST047431,5
ST047432,5
ST047433,5
ST047434,5
ST047435,5
ST047436,5
ST047437,5
ST047438,0+5
ST048430,5
ST048431,5
ST048432,5
ST048433,5
ST048434,5
ST048435,5
ST048436,5
ST048437,5
ST048438,0+5
ST048439,0+5
ST049430,5
ST049431,5
ST049432,5
ST049433,5
ST049434,5
ST049435,5
ST049436,5
ST049437,5
ST049438,0+5
ST049439,0+5
ST0542,5
ST0543,0+5
ST050430,5
ST050431,5
ST050432,5
ST050433,5
ST050434,5
ST050435,5
ST050436,5
ST050437,5
ST050438,0+5
ST050439,0+5
ST051430,5
ST051431,5
ST051432,5
ST051433,5
ST051434,5
ST051435,5
ST051436,5
ST051437,5
ST051438,0+5
ST051439,0+5
ST052430,5
ST052431,5
ST052432,5
ST052433,5
ST052434,5
ST052435,5
ST052436,5
ST052437,5
ST052438,0+5
ST053430,5
ST053431,5
ST053432,5
ST053433,5
ST053434,5
ST053435,5
ST053436,5
ST053437,5
ST053438,0+5
ST054430,5
ST054431,5
ST054432,5
ST054433,5
ST054434,5
ST054435,5
ST054436,5
ST054437,5
ST054438,0+5
ST055430,5
ST055431,5
ST055432,5
ST055433,5
ST055434,5
ST055435,5
ST055436,5
ST055437,0+5
ST055438,0+5
ST056430,5
ST056431,5
ST056432,5
ST056433,5
ST056434,5
ST056435,5
ST056436,5
ST056437,0+5
ST057430,5
ST057431,5
ST057432,5
ST057433,5
ST057434,5
ST057435,5
ST057436,0+5
ST057437,0+5
ST058430,5
ST058431,5
ST058432,5
ST058433,5
ST058434,5
ST058435,5
ST058436,0+5
ST058437,0+5
ST058438,0+5
ST059430,5
ST059431,5
ST059432,5
ST059433,5
ST059434,5
ST059435,5
ST059436,5
ST059437,0+5
ST059438,0+5
ST04M,0+5
ST0444,0+5
ST040440,0+5
ST04Q,5
ST04R,0+5
ST0642,5
ST0643,0+5
ST060430,5
ST060431,5
ST060432,5
ST060433,5
ST060434,5
ST060435,5
ST060436,5
ST060437,0+5
ST060438,0+5
ST061430,5
ST061431,5
ST061432,5
ST061433,5
ST061434,5
ST061435,5
ST061436,5
ST061437,0+5
ST062430,5
ST062431,5
ST062432,5
ST062433,5
ST062434,5
ST062435,5
ST062436,5
ST062437,0+5
ST063430,5
ST063431,5
ST063432,5
ST063433,5
ST063434,5
ST063435,5
ST063436,5
