TA,0+54+61+62
TA163192,54
TA163193,54
TA163194,54
TA163195,54
TA163196,54
TA163197,54
TA163198,54
TA163199,54
TA164190,54
TA164191,54
TA164192,54
TA164193,54
TA164194,54
TA164195,54
TA164196,54
TA164197,54
TA164198,54
TA164199,54
TA165190,54
TA165191,54
TA165192,54
TA165193,54
TA165194,54
TA165195,54
TA165196,54
TA165197,54
TA165198,54
TA165199,54
TA166190,54
TA166191,54
TA166192,54
TA166193,54
TA166194,54
TA166195,54
TA166196,54
TA166197,54
TA166198,54
TA166199,54
TA167190,54
TA167191,54
TA167192,54
TA167193,54
TA167194,54
TA167195,54
TA167196,54
TA167197,54
TA167198,54
TA167199,54
TA168190,54
TA168191,54
TA168192,54
TA168193,54
TA168194,54
TA168195,54
TA168196,54
TA168197,54
TA168198,54
TA168199,54
TA169190,54
TA169191,54
TA169192,54
TA169193,54
TA169194,54
TA169195,54
TA169196,54
TA169197,54
TA169198,54
TA169199,0+54
TA1718,0+54
TA170180,54
TA170181,54
TA170182,54
TA170183,54
TA170184,54
TA170185,54
TA170186,54
TA170187,54
TA170188,54
TA170189,54
TA171180,54
TA171181,54
TA171182,54
TA171183,54
TA171184,54
TA171185,54
TA171186,54
TA171187,54
TA171188,54
TA171189,54
TA172180,54
TA172181,54
TA172182,54
TA172183,54
TA172184,54
TA172185,54
TA172186,54
TA172187,54
TA172188,54
TA172189,54
TA173180,54
TA173181,54
TA173182,54
TA173183,54
TA173184,54
TA173185,54
TA173186,54
TA173187,54
TA173188,54
TA173189,54
TA174180,54
TA174181,54
TA174182,54
TA174183,54
TA174184,54
TA174185,54
TA174186,54
TA174187,54
TA174188,54
TA174189,54
TA175180,54
TA175181,54
TA175182,54
TA175183,54
TA175184,54
TA175185,54
TA175186,54
TA175187,54
TA175188,54
TA175189,0+54
TA176180,54
TA176181,54
TA176182,54
TA176183,54
TA176184,54
TA176185,54
TA176186,54
TA176187,54
TA176188,0+54
TA176189,0+54
TA177180,54
TA177181,54
TA177182,54
TA177183,54
TA177184,54
TA177185,54
TA177186,54
TA177187,0+54
TA177188,0+54
TA178180,54
TA178181,54
TA178182,54
TA178183,54
TA178184,54
TA178185,54
TA178186,0+54
TA178187,0+54
TA179180,54
TA179181,54
TA179182,54
TA179183,54
TA179184,54
TA179185,0+54
TA179186,0+54
TA1719,0+54
TA170190,54
TA170191,54
TA170192,54
