TL,0+18+19+20+21+24+26+28+29+30+31+32
TL072715,31
TL072716,31
TL072717,31
TL072718,31
TL072719,31
TL073710,31
TL073711,31
TL073712,31
TL073713,31
TL073714,31
TL073715,31
TL073716,31
TL073717,31
TL073718,31
TL073719,31
TL074710,30+31
TL074711,31
TL074712,31
TL074713,31
TL074714,31
TL074715,31
TL074716,31
TL074717,31
TL074718,31
TL074719,31
TL075710,30+31
TL075711,30+31
TL075712,31
TL075713,31
TL075714,31
TL075715,31
TL075716,31
TL075717,31
TL075718,31
TL075719,31
TL076711,30+31
TL076712,31
TL076713,31
TL076714,31
TL076715,31
TL076716,31
TL076717,31
TL076718,31
TL076719,31
TL077711,30+31
TL077712,30+31
TL077713,31
TL077714,31
TL077715,31
TL077716,31
TL077717,31
TL077718,31
TL077719,31
TL078711,30+31
TL078712,30+31
TL078713,31
TL078714,31
TL078715,31
TL078716,31
TL078717,31
TL078718,31
TL078719,31
TL079711,30+31
TL079712,30+31
TL079713,31
TL079714,31
TL079715,31
TL079716,31
TL079717,31
TL079718,31
TL079719,31
TL07R,31
TL07S,31
TL07T,31+32
TL0676,31
TL0677,31+32
TL060770,31
TL060771,31
TL060772,31
TL060773,31+32
TL060774,31+32
TL061770,31
TL061771,31
TL061772,31
TL061773,31
TL061774,31+32
TL061775,31+32
TL062770,31
TL062771,31
TL062772,31
TL062773,31
TL062774,31
TL062775,31+32
TL062776,31+32
TL063770,31
TL063771,31
TL063772,31
TL063773,31
TL063774,31
TL063775,31
TL063776,31+32
TL063777,31+32
TL064770,31
TL064771,31
TL064772,31
TL064773,31
TL064774,31
TL064775,31
TL064776,31
TL064777,31+32
TL064778,31+32
TL064779,31+32
TL065770,31
TL065771,31
TL065772,31
TL065773,31
TL065774,31
TL065775,31
TL065776,31
TL065777,31
TL065778,31
TL065779,31+32
TL066770,31
TL066771,31
TL066772,31
TL066773,31
TL066774,31
TL066775,31
TL066776,31
TL066777,31
TL066778,31
TL066779,31
TL067770,31
TL067771,31
TL067772,31
TL067773,31
TL067774,31
TL067775,31
TL067776,31
TL067777,31
TL067778,31
TL067779,31
TL068770,31
TL068771,31
TL068772,31
TL068773,31
TL068774,31
TL068775,31
TL068776,31
TL068777,31
TL068778,31
TL068779,31
TL069770,31
TL069771,31
TL069772,31
TL069773,31
TL069774,31
TL069775,31
TL069776,31
TL069777,31
TL069778,31
TL069779,31
TL0776,31
TL0777,31
TL07U,31+32
TL0678,31+32
TL065780,31+32
TL065781,31+32
TL065782,31+32
TL066780,31
TL066781,31
TL066782,31+32
TL066783,31+32
TL066784,31+32
TL066785,31+32
TL066786,31+32
TL067780,31
TL067781,31
TL067782,31
TL067783,31
TL067784,31
TL067785,31
TL067786,31+32
TL067787,31+32
TL068780,31
TL068781,31
TL068782,31
TL068783,31
TL068784,31
TL068785,31
TL068786,31
TL068787,31+32
TL068788,31+32
TL069780,31
TL069781,31
TL069782,31
TL069783,31
TL069784,31
TL069785,31
TL069786,31
TL069787,31
TL069788,31+32
TL069789,31+32
TL0778,31+32
TL070780,31
TL070781,31
TL070782,31
TL070783,31
TL070784,31
TL070785,31
TL070786,31
TL070787,31
TL070788,31
TL070789,31+32
TL071780,31
TL071781,31
TL071782,31
TL071783,31
TL071784,31
TL071785,31
TL071786,31
TL071787,31
TL071788,31
TL071789,31+32
TL072780,31
TL072781,31
TL072782,31
TL072783,31
TL072784,31
TL072785,31
TL072786,31
TL072787,31
TL072788,31
TL072789,31
TL073780,31
TL073781,31
TL073782,31
TL073783,31
TL073784,31
TL073785,31
TL073786,31
TL073787,31
TL073788,31
TL073789,31
TL074780,31
TL074781,31
TL074782,31
TL074783,31
TL074784,31
TL074785,31
TL074786,31
TL074787,31
TL074788,31
TL074789,31
TL075780,31
TL075781,31
TL075782,31
TL075783,31
TL075784,31
TL075785,31
TL075786,31
TL075787,31
TL075788,31
TL075789,31
TL076780,31
TL076781,31
TL076782,31
TL076783,31
TL076784,31
TL076785,31
TL076786,31
TL076787,31
TL076788,31
TL076789,31
TL077780,31
TL077781,31
TL077782,31
TL077783,31
TL077784,31
TL077785,31
TL077786,31
TL077787,31
TL077788,31
TL077789,31
TL078780,31
TL078781,31
TL078782,31
TL078783,31
TL078784,31
TL078785,31
TL078786,31
TL078787,31
TL078788,31
TL078789,31
TL079780,31
TL079781,31
TL079782,31
TL079783,31
TL079784,31
TL079785,31
TL079786,31
TL079787,31
TL079788,31
TL079789,31
