NT,0+67+68+72+77+78+79+80+81+82+83+84+85+87
NT173109,79
NT174100,79
NT174101,79
NT174102,79
NT174103,79
NT174104,79
NT174105,79
NT174106,79
NT174107,79
NT174108,79
NT174109,79
NT175100,79
NT175101,79
NT175102,79
NT175103,79
NT175104,79
NT175105,79
NT175106,79
NT175107,79
NT175108,79
NT175109,79
NT176100,79
NT176101,79
NT176102,79
NT176103,79
NT176104,79
NT176105,79
NT176106,79
NT176107,79
NT176108,79
NT176109,79
NT177100,79
NT177101,79
NT177102,79
NT177103,79
NT177104,79
NT177105,79
NT177106,79
NT177107,79
NT177108,79
NT177109,79
NT178100,79
NT178101,79
NT178102,79
NT178103,79
NT178104,79
NT178105,79
NT178106,79
NT178107,79
NT178108,79
NT178109,79
NT179100,79
NT179101,79
NT179102,79
NT179103,79
NT179104,79
NT179105,79
NT179106,79
NT179107,79
NT179108,79
NT179109,79
NT1711,72+79
NT172110,72+79
NT173110,72+79
NT173111,72+79
NT173112,72+79
NT173113,72+79
NT174110,79
NT174111,79
NT174112,79
NT174113,72+79
NT174114,72+79
NT174115,72+79
NT175110,79
NT175111,79
NT175112,79
NT175113,79
NT175114,79
NT175115,72+79
NT175116,72+79
NT175117,72+79
NT175118,72+79
NT176110,79
NT176111,79
NT176112,79
NT176113,79
NT176114,79
NT176115,79
NT176116,79
NT176117,79
NT176118,72+79
NT176119,72+79
NT177110,79
NT177111,79
NT177112,79
NT177113,79
NT177114,79
NT177115,79
NT177116,79
NT177117,79
NT177118,79
NT177119,79
NT178110,79
NT178111,79
NT178112,79
NT178113,79
NT178114,79
NT178115,79
NT178116,79
NT178117,79
NT178118,79
NT178119,79
NT179110,79
NT179111,79
NT179112,79
NT179113,79
NT179114,79
NT179115,79
NT179116,79
NT179117,79
NT179118,79
NT179119,79
NT11R,72+79
NT1712,72+79
NT176120,72+79
NT177120,72+79
NT177121,72+79
NT178120,79
NT178121,72+79
NT178122,72+79
NT179120,79
NT179121,79
NT179122,72+79
NT11V,79
NT11W,72+79
NT1812,72+79
NT180120,79
NT180121,79
NT180122,72+79
NT180123,72+79
NT180124,72+79
NT181120,79
NT181121,79
NT181122,79
NT181123,79
NT181124,72+79
NT181125,72+79
NT181126,72+79
NT182120,79
NT182121,79
NT182122,79
NT182123,79
NT182124,79
NT182125,79
NT182126,72+79
NT182127,72+79
NT183120,79
NT183121,79
NT183122,79
NT183123,79
NT183124,79
NT183125,79
NT183126,79
NT183127,72+79
NT183128,72+79
NT184120,79
NT184121,79
NT184122,79
NT184123,79
NT184124,79
NT184125,79
NT184126,79
NT184127,79
NT184128,72+79
NT185120,79
NT185121,79
NT185122,79
NT185123,79
NT185124,79
NT185125,79
NT185126,79
NT185127,79
NT185128,72+79
NT185129,72+79
NT186120,79
NT186121,79
NT186122,79
NT186123,79
NT186124,79
NT186125,79
NT186126,79
NT186127,79
NT186128,72+79
NT186129,72+79
NT187120,79
NT187121,79
NT187122,79
NT187123,79
NT187124,79
NT187125,79
NT187126,79
NT187127,79
NT187128,79
NT187129,72+79
NT188120,79
NT188121,79
NT188122,79
NT188123,79
NT188124,79
NT188125,79
NT188126,79
NT188127,79
NT188128,79
NT188129,79
NT189120,79
NT189121,79
NT189122,79
NT189123,79
NT189124,79
NT189125,79
NT189126,79
NT189127,79
NT189128,79
NT189129,79
NT1813,72+79
NT187130,72+79
NT187131,72+79
NT188130,79
NT188131,72+79
NT188132,72+79
NT189130,79
NT189131,79
NT189132,72+79
NT189133,72+79
NT189134,72+79
NT189135,72+79
NT1912,79
NT1913,72+79
NT190130,79
NT190131,79
NT190132,79
NT190133,79
NT190134,79
NT190135,72+79
NT190136,72+79
NT191130,79
NT191131,79
NT191132,79
NT191133,79
NT191134,79
NT191135,79
NT191136,72+79
NT192130,79
NT192131,79
NT192132,79
NT192133,79
NT192134,79
NT192135,79
NT192136,72+79
NT193130,79
NT193131,79
NT193132,79
NT193133,79
NT193134,79
NT193135,79
NT193136,72+79
NT194130,79
NT194131,79
NT194132,79
NT194133,79
NT194134,79
NT194135,79
NT194136,72+79
NT194137,72+79
NT195130,79
NT195131,79
NT195132,79
NT195133,79
NT195134,79
NT195135,79
NT195136,79
NT195137,72+79
NT195138,72+79
NT196130,79
NT196131,79
NT196132,79
NT196133,79
NT196134,79
NT196135,79
NT196136,79
NT196137,79
NT196138,72+79
NT197130,79
NT197131,79
NT197132,79
NT197133,79
NT197134,79
NT197135,79
NT197136,79
NT197137,79
NT197138,72+79
NT198130,79
NT198131,79
NT198132,79
NT198133,79
NT198134,79
NT198135,79
NT198136,79
NT198137,79
NT198138,72+79
NT199130,79
NT199131,79
NT199132,79
NT199133,79
NT199134,79
NT199135,79
NT199136,79
NT199137,79
NT199138,72+79
NT199139,72+79
NT11Y,72+78+79
NT1816,72+78+79
NT186162,72+78+79
NT186163,72+78+79
NT187163,72+78+79
NT187164,78+79
NT187165,78+79
NT187166,78+79
NT187167,78+79
NT187168,78+79
NT188163,72+79
NT188164,72+79
NT188165,79
NT188166,79
NT188167,79
NT188168,78+79
NT188169,78+79
NT189164,72+79
NT189165,79
NT189166,79
NT189167,79
NT189168,79
NT189169,79
NT1817,78+79
NT188170,78+79
NT189170,78+79
NT189171,78+79
NT189172,78+79
NT1916,72+79
NT190164,72+79
NT190165,79
NT190166,79
NT190167,79
NT190168,79
NT190169,79
NT191164,72+79
NT191165,79
NT191166,79
NT191167,79
NT191168,79
NT191169,79
NT192163,72+79
NT192164,72+79
NT192165,79
NT192166,79
NT192167,79
NT192168,79
NT192169,79
NT193163,72+79
NT193164,79
NT193165,79
NT193166,79
NT193167,79
NT193168,79
NT193169,79
NT194163,72+79
NT194164,79
NT194165,79
NT194166,79
NT194167,79
NT194168,79
NT194169,79
NT195162,72+79
NT195163,72+79
NT195164,79
NT195165,79
NT195166,79
NT195167,79
NT195168,79
NT195169,79
NT196162,72+79
NT196163,79
NT196164,79
NT196165,79
NT196166,79
NT196167,79
NT196168,79
NT196169,79
NT197162,72+79
NT197163,79
NT197164,79
NT197165,79
NT197166,79
NT197167,79
NT197168,79
NT197169,79
NT198162,72+79
NT198163,79
NT198164,79
NT198165,79
NT198166,79
NT198167,79
NT198168,79
NT198169,79
NT199161,72+79
NT199162,72+79
NT199163,79
NT199164,79
NT199165,79
NT199166,79
NT199167,79
NT199168,79
NT199169,79
NT1917,78+79
NT190170,79
NT190171,79
NT190172,78+79
NT190173,78+79
NT190174,78+79
NT190175,78+79
NT191170,79
NT191171,79
NT191172,79
NT191173,79
NT191174,79
NT191175,78+79
NT191176,78+79
NT191177,78+79
NT192170,79
NT192171,79
NT192172,79
NT192173,79
NT192174,79
NT192175,79
NT192176,79
NT192177,78+79
NT192178,78+79
NT193170,79
NT193171,79
NT193172,79
NT193173,79
NT193174,79
NT193175,79
NT193176,79
NT193177,79
NT193178,78+79
NT193179,78+79
NT194170,79
NT194171,79
NT194172,79
NT194173,79
NT194174,79
NT194175,79
NT194176,79
NT194177,79
NT194178,79
NT194179,79
NT195170,79
NT195171,79
NT195172,79
NT195173,79
NT195174,79
NT195175,79
NT195176,79
NT195177,79
NT195178,79
NT195179,79
NT196170,79
NT196171,79
NT196172,79
NT196173,79
NT196174,79
NT196175,79
NT196176,79
NT196177,79
NT196178,79
NT196179,79
NT197170,79
NT197171,79
NT197172,79
NT197173,79
NT197174,79
NT197175,79
NT197176,79
NT197177,79
NT197178,79
NT197179,79
NT198170,79
NT198171,79
NT198172,79
NT198173,79
NT198174,79
NT198175,79
NT198176,79
NT198177,79
NT198178,79
NT198179,79
NT199170,79
NT199171,79
NT199172,79
NT199173,79
NT199174,79
NT199175,79
NT199176,79
NT199177,79
NT199178,79
NT199179,79
NT11Z,78+79
NT1918,78+79
NT193180,78+79
NT193181,78+79
NT193182,78+79
NT193183,78+79
NT193184,78+79
NT193185,78+79
NT193186,78+79
