TF,0+28+29+32+53+54+55
TF030084,53
TF030085,53
TF030086,53
TF030087,53+55
TF030088,55
TF030089,55
TF031080,53
TF031081,53
TF031082,53
TF031083,53
TF031084,53
TF031085,53
TF031086,53
TF031087,53+55
TF031088,53+55
TF031089,55
TF032080,53
TF032081,53
TF032082,53
TF032083,53
TF032084,53
TF032085,53
TF032086,53
TF032087,53
TF032088,53+55
TF032089,55
TF033080,53
TF033081,53
TF033082,53
TF033083,53
TF033084,53
TF033085,53
TF033086,53
TF033087,53
TF033088,53+55
TF033089,55
TF034080,53
TF034081,53
TF034082,53
TF034083,53
TF034084,53
TF034085,53
TF034086,53
TF034087,53
TF034088,53+55
TF034089,53+55
TF035080,53
TF035081,53
TF035082,53
TF035083,53
TF035084,53
TF035085,53
TF035086,53
TF035087,53
TF035088,53
TF035089,53+55
TF036080,53
TF036081,53
TF036082,53
TF036083,53
TF036084,53
TF036085,53
TF036086,53
TF036087,53
TF036088,53
TF036089,53+55
TF037080,53
TF037081,53
TF037082,53
TF037083,53
TF037084,53
TF037085,53
TF037086,53
TF037087,53
TF037088,53
TF037089,53+55
TF038080,53
TF038081,53
TF038082,53
TF038083,53
TF038084,53
TF038085,53
TF038086,53
TF038087,53
TF038088,53
TF038089,53
TF039080,53
TF039081,53
TF039082,53
TF039083,53
TF039084,53
TF039085,53
TF039086,53
TF039087,53
TF039088,53
TF039089,53
TF0309,53+55
TF030090,55
TF030091,55
TF030092,55
TF030093,55
TF030094,55
TF030095,55
TF030096,55
TF030097,55
TF030098,55
TF030099,55
TF031090,55
TF031091,55
TF031092,55
TF031093,55
TF031094,55
TF031095,55
TF031096,55
TF031097,55
TF031098,55
TF031099,55
TF032090,55
TF032091,55
TF032092,55
TF032093,55
TF032094,55
TF032095,55
TF032096,55
TF032097,55
TF032098,55
TF032099,55
TF033090,55
TF033091,55
TF033092,55
TF033093,55
TF033094,55
TF033095,55
TF033096,55
TF033097,55
TF033098,55
TF033099,55
TF034090,55
TF034091,55
TF034092,55
TF034093,55
TF034094,55
TF034095,55
TF034096,55
TF034097,55
TF034098,55
TF034099,55
TF035090,55
TF035091,55
TF035092,55
TF035093,55
TF035094,55
TF035095,55
TF035096,55
TF035097,55
TF035098,55
TF035099,55
TF036090,55
TF036091,55
TF036092,55
TF036093,55
TF036094,55
TF036095,55
TF036096,55
TF036097,55
TF036098,55
TF036099,55
TF037090,53+55
TF037091,55
TF037092,55
TF037093,55
TF037094,55
TF037095,55
TF037096,55
TF037097,55
TF037098,55
TF037099,55
TF038090,53+55
TF038091,55
TF038092,55
TF038093,55
TF038094,55
TF038095,55
TF038096,55
TF038097,55
TF038098,55
TF038099,55
TF039090,53+55
TF039091,55
TF039092,55
TF039093,55
TF039094,55
TF039095,55
TF039096,55
TF039097,55
TF039098,55
TF039099,55
TF00K,32
TF00L,32
TF00M,32
TF00N,32+53
TF0406,32
TF0407,32+53
TF040070,32
TF040071,32
TF040072,32+53
TF040073,32+53
TF040074,53
TF040075,53
TF040076,53
TF040077,53
TF040078,53
TF040079,53
TF041070,32
TF041071,32
TF041072,32
TF041073,32+53
TF041074,53
TF041075,53
TF041076,53
TF041077,53
TF041078,53
TF041079,53
TF042070,32
TF042071,32
TF042072,32
TF042073,32+53
TF042074,32+53
TF042075,53
TF042076,53
TF042077,53
TF042078,53
TF042079,53
TF043070,32
TF043071,32
TF043072,32
TF043073,32
TF043074,32+53
TF043075,53
TF043076,53
TF043077,53
TF043078,53
TF043079,53
TF044070,32
TF044071,32
TF044072,32
TF044073,32+53
TF044074,32+53
TF044075,53
TF044076,53
TF044077,53
TF044078,53
TF044079,53
TF045070,32
TF045071,32
TF045072,32
TF045073,32+53
TF045074,32+53
TF045075,53
TF045076,53
TF045077,53
TF045078,53
TF045079,53
TF046070,32
TF046071,32
TF046072,32
TF046073,32
TF046074,32+53
TF046075,53
TF046076,53
TF046077,53
TF046078,53
TF046079,53
TF047070,32
TF047071,32
TF047072,32
TF047073,32+53
TF047074,32+53
TF047075,53
TF047076,53
TF047077,53
TF047078,53
TF047079,53
TF048070,32
TF048071,32
TF048072,32
TF048073,32+53
TF048074,32+53
TF048075,53
TF048076,53
TF048077,53
TF048078,53
TF048079,53
TF049070,32
TF049071,32
TF049072,32
TF049073,32+53
TF049074,53
TF049075,53
TF049076,53
TF049077,53
TF049078,53
TF049079,53
TF0506,32+53
TF050060,32
TF050061,32
TF050062,32
TF050063,32
TF050064,32
TF050065,32
TF050066,32
TF050067,32
TF050068,32
TF050069,32
TF051060,32
TF051061,32
TF051062,32
TF051063,32
TF051064,32
TF051065,32
TF051066,32
TF051067,32
TF051068,32
TF051069,32
TF052060,32
TF052061,32
TF052062,32
TF052063,32
TF052064,32
TF052065,32
TF052066,32
TF052067,32
TF052068,32
TF052069,32
TF053060,32
TF053061,32
TF053062,32
TF053063,32
TF053064,32
TF053065,32
TF053066,32
TF053067,32
TF053068,32
TF053069,32
TF054060,32
TF054061,32
TF054062,32
TF054063,32
TF054064,32
TF054065,32
TF054066,32
TF054067,32
TF054068,32
TF054069,32
TF055060,32
TF055061,32
TF055062,32
TF055063,32
TF055064,32
TF055065,32
TF055066,32
TF055067,32
TF055068,32
TF055069,32
TF056060,32
TF056061,32
TF056062,32
TF056063,32
TF056064,32
TF056065,32
TF056066,32
TF056067,32
TF056068,32
TF056069,32
TF057060,32
TF057061,32
TF057062,32
TF057063,32
TF057064,32
TF057065,32
TF057066,32
TF057067,32
TF057068,32
TF057069,32+53
TF058060,32
TF058061,32
TF058062,32
TF058063,32
TF058064,32
TF058065,32
TF058066,32
TF058067,32
TF058068,32
TF058069,32+53
TF059060,32
TF059061,32
TF059062,32
TF059063,32
TF059064,32
TF059065,32
TF059066,32
TF059067,32
TF059068,32
TF059069,32+53
TF0507,32+53
TF050070,32
TF050071,32
TF050072,32+53
TF050073,32+53
TF050074,53
TF050075,53
TF050076,53
TF050077,53
TF050078,53
TF050079,53
TF051070,32
TF051071,32
TF051072,32+53
TF051073,53
TF051074,53
TF051075,53
TF051076,53
TF051077,53
TF051078,53
TF051079,53
TF052070,32
TF052071,32
TF052072,32+53
TF052073,53
TF052074,53
TF052075,53
TF052076,53
TF052077,53
TF052078,53
TF052079,53
TF053070,32
TF053071,32
TF053072,32+53
TF053073,53
TF053074,53
TF053075,53
TF053076,53
TF053077,53
TF053078,53
TF053079,53
TF054070,32
TF054071,32+53
TF054072,32+53
TF054073,53
TF054074,53
TF054075,53
TF054076,53
TF054077,53
TF054078,53
TF054079,53
TF055070,32
TF055071,32+53
TF055072,32+53
TF055073,53
TF055074,53
TF055075,53
TF055076,53
TF055077,53
TF055078,53
TF055079,53
TF056070,32+53
TF056071,32+53
TF056072,53
TF056073,53
TF056074,53
TF056075,53
TF056076,53
TF056077,53
TF056078,53
TF056079,53
TF057070,32+53
TF057071,53
TF057072,53
TF057073,53
TF057074,53
TF057075,53
TF057076,53
TF057077,53
TF057078,53
TF057079,53
TF058070,53
TF058071,53
TF058072,53
TF058073,53
TF058074,53
TF058075,53
TF058076,53
TF058077,53
TF058078,53
TF058079,53
TF059070,53
TF059071,53
TF059072,53
TF059073,53
