ST,0+3+4+5+6+7+8+9+33+34+35+41
ST0414,3+4
ST040140,3
ST040141,3
ST040142,3
ST040143,3
ST040144,3
ST040145,3
ST040146,3
ST040147,3
ST040148,3+4
ST040149,4
ST041140,3
ST041141,3
ST041142,3
ST041143,3
ST041144,3
ST041145,3
ST041146,3
ST041147,3
ST041148,3+4
ST041149,4
ST042140,3
ST042141,3
ST042142,3
ST042143,3
ST042144,3
ST042145,3
ST042146,3
ST042147,3
ST042148,3+4
ST042149,4
ST043140,3
ST043141,3
ST043142,3
ST043143,3
ST043144,3
ST043145,3
ST043146,3
ST043147,3
ST043148,3+4
ST043149,3+4
ST044140,3
ST044141,3
ST044142,3
ST044143,3
ST044144,3
ST044145,3
ST044146,3
ST044147,3
ST044148,3
ST044149,3+4
ST045140,3
ST045141,3
ST045142,3
ST045143,3
ST045144,3
ST045145,3
ST045146,3
ST045147,3
ST045148,3
ST045149,3+4
ST046140,3
ST046141,3
ST046142,3
ST046143,3
ST046144,3
ST046145,3
ST046146,3
ST046147,3
ST046148,3
ST046149,3
ST047140,3
ST047141,3
ST047142,3
ST047143,3
ST047144,3
ST047145,3
ST047146,3
ST047147,3
ST047148,3
ST047149,3
ST048140,3
ST048141,3
ST048142,3
ST048143,3
ST048144,3
ST048145,3
ST048146,3
ST048147,3
ST048148,3
ST048149,3
ST049140,3
ST049141,3
ST049142,3
ST049143,3
ST049144,3
ST049145,3
ST049146,3
ST049147,3
ST049148,3
ST049149,3
ST0415,3+4
ST040150,4
ST040151,4
ST040152,4
ST040153,4
ST040154,4
ST040155,4
ST040156,4
ST040157,4
ST040158,4
ST040159,4
ST041150,4
ST041151,4
ST041152,4
ST041153,4
ST041154,4
ST041155,4
ST041156,4
ST041157,4
ST041158,4
ST041159,4
ST042150,4
ST042151,4
ST042152,4
ST042153,4
ST042154,4
ST042155,4
ST042156,4
ST042157,4
ST042158,4
ST042159,4
ST043150,4
ST043151,4
ST043152,4
ST043153,4
ST043154,4
ST043155,4
ST043156,4
ST043157,4
ST043158,4
ST043159,4
ST044150,4
ST044151,4
ST044152,4
ST044153,4
ST044154,4
ST044155,4
ST044156,4
ST044157,4
ST044158,4
ST044159,4
ST045150,3+4
ST045151,4
ST045152,4
ST045153,4
ST045154,4
ST045155,4
ST045156,4
ST045157,4
ST045158,4
ST045159,4
ST046150,3+4
ST046151,4
ST046152,4
ST046153,4
ST046154,4
ST046155,4
ST046156,4
ST046157,4
ST046158,4
ST046159,4
ST047150,3+4
ST047151,3+4
ST047152,4
ST047153,4
ST047154,4
ST047155,4
ST047156,4
ST047157,4
ST047158,4
ST047159,4
ST048150,3
ST048151,3+4
ST048152,4
ST048153,4
ST048154,4
ST048155,4
ST048156,4
ST048157,4
ST048158,4
ST048159,4
ST049150,3
ST049151,3+4
ST049152,3+4
ST049153,4
ST049154,4
ST049155,4
ST049156,4
ST049157,4
ST049158,4
ST049159,4
ST0514,3
ST0515,3+4
ST050150,3
ST050151,3
ST050152,3+4
ST050153,3+4
ST050154,4
ST050155,4
ST050156,4
ST050157,4
ST050158,4
ST050159,4
ST051150,3
ST051151,3
ST051152,3
ST051153,3+4
ST051154,3+4
ST051155,4
ST051156,4
ST051157,4
ST051158,4
ST051159,4
ST052150,3
ST052151,3
ST052152,3
ST052153,3
ST052154,3+4
ST052155,3+4
ST052156,4
ST052157,4
ST052158,4
ST052159,4
ST053150,3
ST053151,3
ST053152,3
ST053153,3
ST053154,3
ST053155,3+4
ST053156,3+4
ST053157,4
ST053158,4
ST053159,4
ST054150,3
ST054151,3
ST054152,3
ST054153,3
ST054154,3
ST054155,3
ST054156,3+4
ST054157,3+4
ST054158,4
ST054159,4
