NU039017,68
NU039018,68
NU039019,68
NU00G,67+68
NU0202,67+68
NU020020,67
NU020021,67+68
NU020022,68
NU020023,68
NU020024,68
NU020025,68
NU020026,68
NU020027,68
NU020028,68
NU020029,68
NU021020,67
NU021021,67+68
NU021022,68
NU021023,68
NU021024,68
NU021025,68
NU021026,68
NU021027,68
NU021028,68
NU021029,68
NU022020,67+68
NU022021,67+68
NU022022,68
NU022023,68
NU022024,68
NU022025,68
NU022026,68
NU022027,68
NU022028,68
NU022029,68
NU023020,67+68
NU023021,68
NU023022,68
NU023023,68
NU023024,68
NU023025,68
NU023026,68
NU023027,68
NU023028,68
NU023029,68
NU024020,67+68
NU024021,68
NU024022,68
NU024023,68
NU024024,68
NU024025,68
NU024026,68
NU024027,68
NU024028,68
NU024029,68
NU025020,67+68
NU025021,68
NU025022,68
NU025023,68
NU025024,68
NU025025,68
NU025026,68
NU025027,68
NU025028,68
NU025029,68
NU026020,67+68
NU026021,68
NU026022,68
NU026023,68
NU026024,68
NU026025,68
NU026026,68
NU026027,68
NU026028,68
NU026029,68
NU027020,67+68
NU027021,68
NU027022,68
NU027023,68
NU027024,68
NU027025,68
NU027026,68
NU027027,68
NU027028,68
NU027029,68
NU028020,67+68
NU028021,68
NU028022,68
NU028023,68
NU028024,68
NU028025,68
NU028026,68
NU028027,68
NU028028,68
NU028029,68
NU029020,68
NU029021,68
NU029022,68
NU029023,68
NU029024,68
NU029025,68
NU029026,68
NU029027,68
NU029028,68
NU029029,68
NU0203,68
NU0302,68
NU0303,68
NU00H,68
NU00I,68
NU00J,68
NU00K,67+68
NU0400,67
NU0401,67+68
NU040010,67
NU040011,67
NU040012,67
NU040013,67
NU040014,67+68
NU040015,68
NU040016,68
NU040017,68
NU040018,68
NU040019,68
NU041010,67
NU041011,67
NU041012,67+68
NU041013,67+68
NU041014,67+68
NU041015,68
NU041016,68
NU041017,68
NU041018,68
NU041019,68
NU042010,67
NU042011,67+68
NU042012,67+68
NU042013,68
NU042014,68
NU042015,68
NU042016,68
NU042017,68
NU042018,68
NU042019,68
NU043010,67+68
NU043011,67+68
NU043012,68
NU043013,68
NU043014,68
NU043015,68
NU043016,68
NU043017,68
NU043018,68
NU043019,68
NU044010,67+68
NU044011,68
NU044012,68
NU044013,68
NU044014,68
NU044015,68
NU044016,68
NU044017,68
NU044018,68
NU044019,68
NU045010,67+68
NU045011,67+68
NU045012,68
NU045013,68
NU045014,68
NU045015,68
NU045016,68
NU045017,68
NU045018,68
NU045019,68
NU046010,67
NU046011,67+68
NU046012,67+68
NU046013,67+68
NU046014,67+68
NU046015,68
NU046016,68
NU046017,68
NU046018,68
NU046019,68
NU047010,67
NU047011,67
NU047012,67
NU047013,67
NU047014,67+68
NU047015,68
NU047016,68
NU047017,68
NU047018,68
NU047019,68
NU048010,67
NU048011,67
NU048012,67
NU048013,67
NU048014,67+68
NU048015,68
NU048016,68
NU048017,68
NU048018,68
NU048019,68
NU049010,67
NU049011,67
NU049012,67
NU049013,67
NU049014,67+68
NU049015,68
NU049016,68
NU049017,68
NU049018,68
NU049019,68
NU0500,67
NU0501,67+68
NU050010,67
NU050011,67
NU050012,67
NU050013,67
NU050014,67+68
NU050015,67+68
NU050016,68
NU050017,68
NU050018,68
NU050019,68
NU051010,67
NU051011,67
NU051012,67
NU051013,67
NU051014,67
NU051015,67+68
NU051016,68
NU051017,68
NU051018,68
NU051019,68
NU052010,67
NU052011,67
NU052012,67
NU052013,67
NU052014,67
NU052015,67+68
NU052016,68
NU052017,68
NU052018,68
NU052019,68
NU053010,67
NU053011,67
NU053012,67
NU053013,67
NU053014,67
NU053015,67+68
NU053016,68
NU053017,68
NU053018,68
NU053019,68
NU054010,67
NU054011,67
NU054012,67
NU054013,67
NU054014,67
NU054015,67+68
NU054016,68
NU054017,68
NU054018,68
NU054019,68
NU055010,67
NU055011,67
NU055012,67
NU055013,67
NU055014,67
NU055015,67+68
NU055016,68
NU055017,68
NU055018,68
NU055019,68
NU056010,67
NU056011,67
NU056012,67
NU056013,67
NU056014,67
NU056015,67+68
NU056016,68
NU056017,68
NU056018,68
NU056019,68
NU057010,67
NU057011,67
NU057012,67
NU057013,67
NU057014,67
NU057015,67+68
NU057016,68
NU057017,68
NU057018,68
NU057019,68
NU058010,67
NU058011,67
NU058012,67
NU058013,67
NU058014,67
NU058015,67+68
NU058016,68
NU058017,68
NU058018,68
NU058019,68
NU059010,67
NU059011,67
NU059012,67
NU059013,67
NU059014,67
NU059015,67+68
NU059016,67+68
NU059017,68
NU059018,68
NU059019,68
NU00L,68
NU00M,68
NU00N,68
NU00P,68
NU00Q,67+68
NU0600,67
NU0601,67+68
NU060010,67
NU060011,67
NU060012,67
NU060013,67
NU060014,67
NU060015,67
NU060016,67+68
NU060017,67+68
NU060018,68
NU060019,68
NU061010,67
NU061011,67
NU061012,67
NU061013,67
NU061014,67
NU061015,67
NU061016,67
NU061017,67+68
NU061018,68
NU061019,68
NU062010,67
NU062011,67
NU062012,67
NU062013,67
NU062014,67
NU062015,67
NU062016,67
NU062017,67+68
NU062018,68
NU062019,68
NU063010,67
NU063011,67
NU063012,67
NU063013,67
NU063014,67
NU063015,67
NU063016,67
NU063017,67+68
NU063018,68
NU063019,68
NU064010,67
NU064011,67
NU064012,67
NU064013,67
NU064014,67
NU064015,67
NU064016,67
NU064017,67+68
NU064018,68
NU064019,68
NU065010,67
NU065011,67
NU065012,67
NU065013,67
NU065014,67
NU065015,67
NU065016,67+68
NU065017,67+68
NU065018,68
NU065019,68
NU066010,67
NU066011,67
NU066012,67
NU066013,67
NU066014,67
NU066015,67+68
NU066016,67+68
NU066017,68
NU066018,68
NU066019,68
NU067010,67
NU067011,67
NU067012,67
NU067013,67
NU067014,67
NU067015,67+68
NU067016,68
NU067017,68
NU067018,68
NU067019,68
NU068010,67
NU068011,67
NU068012,67
NU068013,67
NU068014,67
NU068015,67+68
NU068016,67+68
NU068017,68
NU068018,68
NU068019,68
NU069010,67
NU069011,67
NU069012,67
NU069013,67+68
NU069014,67+68
NU069015,67
NU069016,67+68
NU069017,68
NU069018,68
NU069019,68
NU0700,67+68
NU070000,67
NU070001,67
NU070002,67
NU070003,67
NU070004,67
NU070005,67
NU070006,67
NU070007,67
NU070008,67
NU070009,67
NU071000,67
NU071001,67
NU071002,67
NU071003,67
NU071004,67
NU071005,67
NU071006,67
NU071007,67
NU071008,67
NU071009,67
NU072000,67
NU072001,67
NU072002,67
NU072003,67
NU072004,67
NU072005,67
NU072006,67
NU072007,67
NU072008,67
NU072009,67+68
NU073000,67
NU073001,67
NU073002,67
NU073003,67
NU073004,67
NU073005,67
NU073006,67
NU073007,67
NU073008,67+68
NU073009,67+68
NU074000,67
NU074001,67
NU074002,67
NU074003,67
NU074004,67
NU074005,67
NU074006,67
NU074007,67+68
NU074008,67+68
NU074009,68
NU075000,67
NU075001,67
NU075002,67
NU075003,67
NU075004,67
NU075005,67
NU075006,67
NU075007,67+68
NU075008,68
NU075009,68
NU076000,67
NU076001,67
NU076002,67
NU076003,67
NU076004,67
NU076005,67
NU076006,67
NU076007,67+68
NU076008,68
NU076009,68
NU077000,67
NU077001,67
NU077002,67
NU077003,67
NU077004,67
NU077005,67
NU077006,67
NU077007,67+68
NU077008,68
NU077009,68
NU078000,67
NU078001,67
NU078002,67
NU078003,67
NU078004,67
NU078005,67
NU078006,67
NU078007,67+68
NU078008,68
NU078009,68
NU079000,67
NU079001,67
NU079002,67
NU079003,67
NU079004,67
NU079005,67
NU079006,67
NU079007,67+68
NU079008,68
NU079009,68
NU0701,67+68
NU070010,67
NU070011,67
NU070012,67+68
NU070013,67+68
NU070014,67+68
NU070015,67+68
NU070016,67+68
NU070017,68
NU070018,68
NU070019,68
NU071010,67+68
NU071011,67+68
NU071012,67+68
NU071013,68
NU071014,68
NU071015,68
NU071016,68
NU071017,68
NU071018,68
NU071019,68
NU072010,67+68
NU072011,68
NU072012,68
NU072013,68
NU072014,68
NU072015,68
NU072016,68
NU072017,68
NU072018,68
NU072019,68
NU073010,68
NU073011,68
NU073012,68
NU073013,68
NU073014,68
NU073015,68
NU073016,68
NU073017,68
NU073018,68
NU073019,68
NU074010,68
NU074011,68
NU074012,68
NU074013,68
NU074014,68
NU074015,68
NU074016,68
NU074017,68
NU074018,68
NU074019,68
NU075010,68
NU075011,68
NU075012,68
NU075013,68
NU075014,68
NU075015,68
NU075016,68
NU075017,68
NU075018,68
NU075019,68
NU076010,68
NU076011,68
NU076012,68
NU076013,68
NU076014,68
NU076015,68
NU076016,68
NU076017,68
NU076018,68
NU076019,68
NU077010,68
NU077011,68
NU077012,68
NU077013,68
NU077014,68
NU077015,68
NU077016,68
NU077017,68
NU077018,68
NU077019,68
NU078010,68
NU078011,68
NU078012,68
NU078013,68
NU078014,68
NU078015,68
NU078016,68
NU078017,68
NU078018,68
NU078019,68
NU079010,68
NU079011,68
NU079012,68
NU079013,68
NU079014,68
NU079015,68
NU079016,68
NU079017,68
NU079018,68
NU079019,68
NU00R,68
NU00S,68
NU00T,68
NU00U,68
NU00V,67+68
NU0800,67+68
NU080000,67
NU080001,67
NU080002,67
NU080003,67
NU080004,67
NU080005,67
NU080006,67
NU080007,67+68
NU080008,68
NU080009,68
NU081000,67
NU081001,67
NU081002,67
NU081003,67
NU081004,67
NU081005,67
NU081006,67
NU081007,67+68
NU081008,67+68
NU081009,68
NU082000,67
NU082001,67
NU082002,67
NU082003,67
NU082004,67
NU082005,67
NU082006,67
NU082007,67+68
NU082008,67+68
NU082009,68
NU083000,67
NU083001,67
NU083002,67
NU083003,67
NU083004,67
NU083005,67
NU083006,67+68
NU083007,67+68
NU083008,68
NU083009,68
NU084000,67
NU084001,67
NU084002,67
NU084003,67
NU084004,67
NU084005,67
NU084006,67+68
NU084007,68
NU084008,68
NU084009,68
NU085000,67
NU085001,67
NU085002,67
NU085003,67
NU085004,67
NU085005,67+68
NU085006,67+68
NU085007,68
NU085008,68
NU085009,68
NU086000,67
NU086001,67
NU086002,67
NU086003,67
NU086004,67+68
NU086005,67+68
NU086006,68
NU086007,68
NU086008,68
NU086009,68
NU087000,67
NU087001,67
NU087002,67
NU087003,67+68
NU087004,67+68
