NG,0+97+104+105+110
NG024795,0
NG024796,0
NG024797,0
NG024798,0
NG024799,0
NG025790,0
NG025791,0
NG025792,0
NG025793,0
NG025794,0
NG025795,0
NG025796,0
NG025797,0
NG025798,0
NG025799,0
NG026790,0
NG026791,0
NG026792,0
NG026793,0
NG026794,0
NG026795,0
NG026796,0
NG026797,0
NG026798,0
NG026799,0
NG027790,0
NG027791,0
NG027792,0
NG027793,0
NG027794,0
NG027795,0
NG027796,0
NG027797,0
NG027798,0
NG027799,0
NG028790,0
NG028791,0
NG028792,0
NG028793,0
NG028794,0
NG028795,0
NG028796,0
NG028797,0
NG028798,0
NG028799,0
NG029790,0
NG029791,0
NG029792,0
NG029793,0
NG029794,0
NG029795,0
NG029796,0
NG029797,0
NG029798,0
NG029799,0
NG0378,0
NG0379,0
NG07K,0
NG07L,0
NG07M,0
NG07N,0
NG07P,0
NG07Q,0
NG07R,0
NG07S,0
NG07T,0
NG07U,0
NG07V,0
NG07W,0
NG07X,0
NG07Y,0
NG07Z,0
NG08,0+110
NG08SW,0+110
NG08NW,0+110
NG08SE,0+110
NG08NE,0+110
NG08A,0+110
NG0080,0+110
NG000800,0
NG000801,0
NG000802,0
NG000803,0
NG000804,0
NG000805,0
NG000806,0
NG000807,0
NG000808,0
NG000809,0
NG001800,0
NG001801,0
NG001802,0
NG001803,0
NG001804,0
NG001805,0
NG001806,0
NG001807,0
NG001808,0
NG001809,0
NG002800,0
NG002801,0
NG002802,0
NG002803,0
NG002804,0
NG002805,0
NG002806,0
NG002807,0
NG002808,0
NG002809,0
NG003800,0
NG003801,0
NG003802,0
NG003803,0
NG003804,0
NG003805,0
NG003806,0
NG003807,0
NG003808,0
NG003809,0
NG004800,0
NG004801,0
NG004802,0
NG004803,0
NG004804,0
NG004805,0
NG004806,0
NG004807,0
NG004808,0
NG004809,0
NG005800,0
NG005801,0
NG005802,0
NG005803,0
NG005804,0
NG005805,0+110
NG005806,0+110
NG005807,0
NG005808,0
NG005809,0
NG006800,0
NG006801,0
NG006802,0+110
NG006803,0+110
NG006804,0+110
NG006805,0+110
NG006806,0+110
NG006807,0
NG006808,0
NG006809,0
NG007800,0
NG007801,0
NG007802,0+110
NG007803,0+110
NG007804,0+110
NG007805,0+110
NG007806,0
NG007807,0
NG007808,0
NG007809,0
NG008800,0
NG008801,0+110
NG008802,0+110
NG008803,0+110
NG008804,0+110
NG008805,0
NG008806,0
NG008807,0
NG008808,0
NG008809,0
NG009800,0
NG009801,0
NG009802,0+110
NG009803,0
NG009804,0
NG009805,0
NG009806,0
NG009807,0
NG009808,0
NG009809,0
NG0081,0
NG0180,0+110
NG010800,0
NG010801,0
NG010802,0
NG010803,0
NG010804,0
NG010805,0
NG010806,0
NG010807,0
NG010808,0
NG010809,0
NG011800,0
NG011801,0
NG011802,0
NG011803,0
NG011804,0
NG011805,0
NG011806,0
NG011807,0
NG011808,0
NG011809,0
NG012800,0
NG012801,0
NG012802,0+110
NG012803,0+110
NG012804,0
NG012805,0
NG012806,0
NG012807,0
NG012808,0
NG012809,0
NG013800,0
NG013801,0+110
NG013802,0+110
NG013803,0+110
NG013804,0
NG013805,0
NG013806,0
NG013807,0
NG013808,0
NG013809,0
NG014800,0
NG014801,0+110
NG014802,0+110
NG014803,0+110
NG014804,0
NG014805,0
NG014806,0
NG014807,0
NG014808,0
NG014809,0
NG015800,0
NG015801,0+110
NG015802,0+110
NG015803,0
NG015804,0
NG015805,0
NG015806,0
NG015807,0
NG015808,0
NG015809,0
NG016800,0+110
NG016801,0+110
NG016802,0+110
NG016803,0
NG016804,0
NG016805,0
NG016806,0
NG016807,0
NG016808,0
NG016809,0
NG017800,0+110
NG017801,110
NG017802,0+110
NG017803,0+110
NG017804,0
NG017805,0
NG017806,0
NG017807,0
