TL,0+18+19+20+21+24+26+28+29+30+31+32
TL010050,24
TL010051,24
TL010052,24
TL010053,24
TL010054,20+24
TL010055,20+24
TL010056,20
TL010057,20
TL010058,20
TL010059,20
TL011050,24
TL011051,24
TL011052,24
TL011053,24
TL011054,20+24
TL011055,20
TL011056,20
TL011057,20
TL011058,20
TL011059,20
TL012050,24
TL012051,24
TL012052,24
TL012053,20+24
TL012054,20+24
TL012055,20
TL012056,20
TL012057,20
TL012058,20
TL012059,20
TL013050,24
TL013051,24
TL013052,20+24
TL013053,20+24
TL013054,20
TL013055,20
TL013056,20
TL013057,20
TL013058,20
TL013059,20
TL014050,20+24
TL014051,20+24
TL014052,20+24
TL014053,20
TL014054,20
TL014055,20
TL014056,20
TL014057,20
TL014058,20
TL014059,20
TL015050,20
TL015051,20+24
TL015052,20
TL015053,20
TL015054,20
TL015055,20
TL015056,20
TL015057,20
TL015058,20
TL015059,20
TL016050,20
TL016051,20
TL016052,20
TL016053,20
TL016054,20
TL016055,20
TL016056,20
TL016057,20
TL016058,20
TL016059,20
TL017050,20
TL017051,20
TL017052,20
TL017053,20
TL017054,20
TL017055,20
TL017056,20
TL017057,20
TL017058,20
TL017059,20
TL018050,20
TL018051,20
TL018052,20
TL018053,20
TL018054,20
TL018055,20
TL018056,20
TL018057,20
TL018058,20
TL018059,20
TL019050,20
TL019051,20
TL019052,20
TL019053,20
TL019054,20
TL019055,20
TL019056,20
TL019057,20
TL019058,20
TL019059,20
TL00D,20+24
TL0006,20+24
TL000060,20+24
TL000061,20
TL000062,20
TL000063,20
TL000064,20
TL000065,20
TL000066,20
TL000067,20
TL000068,20
TL000069,20
TL001060,20+24
TL001061,20
TL001062,20
TL001063,20
TL001064,20
TL001065,20
TL001066,20
TL001067,20
TL001068,20
TL001069,20
TL002060,20+24
TL002061,20
TL002062,20
TL002063,20
TL002064,20
TL002065,20
TL002066,20
TL002067,20
TL002068,20
TL002069,20
TL003060,20+24
TL003061,20
TL003062,20
TL003063,20
TL003064,20
TL003065,20
TL003066,20
TL003067,20
TL003068,20
TL003069,20
TL004060,20+24
TL004061,20
TL004062,20
TL004063,20
TL004064,20
TL004065,20
TL004066,20
TL004067,20
TL004068,20
TL004069,20
TL005060,20+24
TL005061,20
TL005062,20
TL005063,20
TL005064,20
TL005065,20
TL005066,20
TL005067,20
TL005068,20
TL005069,20
TL006060,20+24
TL006061,20
TL006062,20
TL006063,20
TL006064,20
TL006065,20
TL006066,20
TL006067,20
TL006068,20
TL006069,20
TL007060,20
TL007061,20
TL007062,20
TL007063,20
TL007064,20
TL007065,20
TL007066,20
TL007067,20
TL007068,20
TL007069,20
TL008060,20
TL008061,20
TL008062,20
TL008063,20
TL008064,20
TL008065,20
TL008066,20
TL008067,20
TL008068,20
TL008069,20
TL009060,20
TL009061,20
TL009062,20
TL009063,20
TL009064,20
TL009065,20
TL009066,20
TL009067,20
TL009068,20
TL009069,20
TL0007,20
TL0106,20
TL0107,20
TL00E,20+24
TL0008,20
TL0009,20
TL0108,20
TL0109,20+24
TL010090,20
TL010091,20
TL010092,20
TL010093,20
TL010094,20
TL010095,20
TL010096,20
TL010097,20
TL010098,20
TL010099,20
TL011090,20
TL011091,20
TL011092,20
TL011093,20
TL011094,20
TL011095,20
TL011096,20
TL011097,20
TL011098,20
TL011099,20+24
TL012090,20
TL012091,20
TL012092,20
TL012093,20
TL012094,20
TL012095,20
TL012096,20
TL012097,20
TL012098,20
TL012099,20+24
TL013090,20
TL013091,20
TL013092,20
TL013093,20
TL013094,20
TL013095,20
TL013096,20
TL013097,20
TL013098,20
TL013099,20+24
TL014090,20
TL014091,20
TL014092,20
TL014093,20
TL014094,20
TL014095,20
TL014096,20
TL014097,20
TL014098,20
TL014099,20+24
TL015090,20
TL015091,20
TL015092,20
TL015093,20
TL015094,20
TL015095,20
TL015096,20
TL015097,20
TL015098,20+24
TL015099,20+24
TL016090,20
TL016091,20
TL016092,20
TL016093,20
TL016094,20
TL016095,20
TL016096,20
TL016097,20
TL016098,20+24
TL016099,24
TL017090,20
TL017091,20
TL017092,20
TL017093,20
TL017094,20
TL017095,20
TL017096,20
TL017097,20
TL017098,20+24
TL017099,24
TL018090,20
TL018091,20
TL018092,20
TL018093,20
TL018094,20
TL018095,20
TL018096,20
TL018097,20+24
TL018098,20+24
TL018099,24
TL019090,20
TL019091,20
TL019092,20
TL019093,20
TL019094,20
TL019095,20
TL019096,20
TL019097,20+24
TL019098,24
TL019099,24
TL00F,20
TL00G,20
TL00H,20
TL00I,20
TL00J,20+24
TL0208,20
TL0209,20+24
TL020090,20
TL020091,20
TL020092,20
TL020093,20
TL020094,20
TL020095,20
TL020096,20
TL020097,20+24
TL020098,24
TL020099,24
TL021090,20
TL021091,20
TL021092,20
TL021093,20
TL021094,20
TL021095,20
TL021096,20
TL021097,20+24
TL021098,20+24
TL021099,24
TL022090,20
TL022091,20
TL022092,20
TL022093,20
TL022094,20
TL022095,20
TL022096,20
TL022097,20
TL022098,20+24
TL022099,20+24
TL023090,20
TL023091,20
TL023092,20
TL023093,20
TL023094,20
TL023095,20
TL023096,20
TL023097,20
TL023098,20
TL023099,20+24
TL024090,20
TL024091,20
TL024092,20
TL024093,20
TL024094,20
TL024095,20
TL024096,20
TL024097,20
TL024098,20
TL024099,20
TL025090,20
TL025091,20
TL025092,20
TL025093,20
TL025094,20
TL025095,20
TL025096,20
TL025097,20
TL025098,20
TL025099,20
TL026090,20
TL026091,20
TL026092,20
TL026093,20
TL026094,20
TL026095,20
TL026096,20
TL026097,20
TL026098,20
TL026099,20
TL027090,20
TL027091,20
TL027092,20
TL027093,20
TL027094,20
TL027095,20
TL027096,20
TL027097,20
TL027098,20
TL027099,20
TL028090,20
TL028091,20
TL028092,20
TL028093,20
TL028094,20
TL028095,20
TL028096,20
TL028097,20
TL028098,20
TL028099,20
TL029090,20
TL029091,20
TL029092,20
TL029093,20
TL029094,20
TL029095,20
TL029096,20
TL029097,20
TL029098,20
TL029099,20
TL0308,20
TL0309,20
TL00K,20
TL00L,20
TL00M,20
TL00N,20
TL00P,20
TL00Q,20
TL00R,20
TL00S,20
TL00T,20
TL00U,20
TL00V,20
TL00W,20
TL00X,20
TL00Y,20
TL00Z,20
TL01,20+24+30
TL01SW,20+24
TL01NW,20+24+30
TL01SE,20
TL01NE,20+30
TL01A,20+24
TL0010,20+24
TL000100,20
TL000101,20
TL000102,20
TL000103,20
TL000104,20
TL000105,20
TL000106,20
TL000107,20+24
TL000108,20+24
TL000109,20+24
TL001100,20
TL001101,20
TL001102,20
TL001103,20
TL001104,20
TL001105,20+24
TL001106,20+24
TL001107,20+24
TL001108,24
TL001109,24
TL002100,20
TL002101,20
TL002102,20
TL002103,20+24
TL002104,20+24
TL002105,20+24
TL002106,24
TL002107,24
TL002108,24
TL002109,24
TL003100,20
TL003101,20
TL003102,20+24
TL003103,20+24
TL003104,24
TL003105,24
TL003106,24
TL003107,24
TL003108,24
TL003109,24
TL004100,20
TL004101,20
TL004102,20+24
TL004103,24
TL004104,24
TL004105,24
TL004106,24
TL004107,24
TL004108,24
TL004109,24
TL005100,20
TL005101,20
TL005102,20+24
TL005103,24
TL005104,24
TL005105,24
TL005106,24
TL005107,24
TL005108,24
TL005109,24
TL006100,20
TL006101,20
TL006102,20+24
TL006103,24
TL006104,24
TL006105,24
TL006106,24
TL006107,24
TL006108,24
TL006109,24
TL007100,20
TL007101,20+24
TL007102,20+24
TL007103,24
TL007104,24
TL007105,24
TL007106,24
TL007107,24
TL007108,24
TL007109,24
TL008100,20
TL008101,20+24
TL008102,24
TL008103,24
TL008104,24
TL008105,24
TL008106,24
TL008107,24
TL008108,24
TL008109,24
TL009100,20+24
TL009101,20+24
TL009102,24
TL009103,24
TL009104,24
TL009105,24
TL009106,24
TL009107,24
TL009108,24
TL009109,24
TL0011,20+24
TL000110,20+24
TL000111,24
TL000112,24
TL000113,24
TL000114,24
TL000115,24
TL000116,24
TL000117,20+24
TL000118,20+24
TL000119,20+24
TL001110,24
TL001111,24
TL001112,24
TL001113,24
TL001114,24
TL001115,24
TL001116,20+24
TL001117,20+24
TL001118,20
TL001119,20
TL002110,24
TL002111,24
TL002112,24
TL002113,24
TL002114,24
TL002115,20+24
TL002116,20+24
TL002117,20
TL002118,20
TL002119,20
TL003110,24
TL003111,24
TL003112,24
TL003113,24
TL003114,20+24
TL003115,20+24
TL003116,20
TL003117,20
TL003118,20
TL003119,20
TL004110,24
TL004111,24
TL004112,24
TL004113,24
TL004114,20+24
TL004115,20
TL004116,20
TL004117,20
TL004118,20
TL004119,20
TL005110,24
TL005111,24
TL005112,24
TL005113,20+24
TL005114,20+24
TL005115,20
TL005116,20
TL005117,20
TL005118,20
TL005119,20+24
TL006110,24
TL006111,24
TL006112,24
TL006113,20+24
TL006114,20+24
TL006115,20
TL006116,20
TL006117,20
TL006118,20+24
TL006119,20+24
TL007110,24
TL007111,24
TL007112,24
TL007113,24
TL007114,20+24
TL007115,20+24
TL007116,20
TL007117,20+24
TL007118,20+24
TL007119,24
TL008110,24
TL008111,24
TL008112,24
TL008113,24
TL008114,24
TL008115,20+24
TL008116,20
TL008117,20+24
TL008118,24
TL008119,24
TL009110,24
TL009111,24
TL009112,24
TL009113,24
TL009114,24
TL009115,20+24
TL009116,20+24
TL009117,20+24
TL009118,24
TL009119,24
TL0110,20+24
TL010100,20+24
TL010101,24
TL010102,24
TL010103,24
TL010104,24
TL010105,24
TL010106,24
TL010107,24
TL010108,24
TL010109,24
TL011100,20+24
TL011101,24
TL011102,24
TL011103,24
TL011104,24
TL011105,24
TL011106,24
TL011107,24
TL011108,24
TL011109,24
TL012100,24
TL012101,24
TL012102,24
TL012103,24
TL012104,24
TL012105,24
TL012106,24
TL012107,24
TL012108,24
TL012109,24
TL013100,24
TL013101,24
TL013102,24
TL013103,24
TL013104,24
TL013105,24
TL013106,24
TL013107,24
TL013108,24
TL013109,24
TL014100,24
TL014101,24
TL014102,24
TL014103,24
TL014104,24
TL014105,24
TL014106,24
TL014107,24
TL014108,24
TL014109,24
TL015100,24
TL015101,24
TL015102,24
TL015103,24
TL015104,24
TL015105,24
TL015106,24
TL015107,24
TL015108,24
TL015109,24
TL016100,24
TL016101,24
TL016102,24
TL016103,24
TL016104,24
TL016105,24
TL016106,24
TL016107,24
TL016108,24
TL016109,24
TL017100,24
TL017101,24
TL017102,24
TL017103,24
TL017104,24
TL017105,24
TL017106,24
TL017107,24
TL017108,24
TL017109,24
TL018100,24
TL018101,24
TL018102,24
TL018103,24
TL018104,24
TL018105,24
TL018106,24
TL018107,24
TL018108,24
TL018109,24
TL019100,24
TL019101,24
TL019102,24
TL019103,24
TL019104,24
TL019105,24
TL019106,24
TL019107,24
TL019108,24
TL019109,24
TL0111,24
TL01B,20+24
TL0012,20+24
TL000120,20
TL000121,20
TL000122,20
TL000123,20
TL000124,20
TL000125,20
TL000126,20
TL000127,20
TL000128,20
TL000129,20
TL001120,20
TL001121,20
TL001122,20
TL001123,20
TL001124,20
TL001125,20
TL001126,20
TL001127,20
TL001128,20
TL001129,20
TL002120,20
TL002121,20
TL002122,20
TL002123,20
TL002124,20+24
TL002125,20+24
TL002126,20+24
TL002127,20+24
TL002128,20+24
TL002129,20+24
TL003120,20
TL003121,20
TL003122,20+24
TL003123,20+24
TL003124,20+24
TL003125,24
TL003126,24
TL003127,24
TL003128,24
TL003129,24
TL004120,20+24
TL004121,20+24
TL004122,20+24
TL004123,24
TL004124,24
TL004125,24
TL004126,24
TL004127,24
TL004128,24
TL004129,24
TL005120,20+24
TL005121,24
TL005122,24
TL005123,24
TL005124,24
TL005125,24
TL005126,24
TL005127,24
TL005128,24
TL005129,24
TL006120,24
TL006121,24
TL006122,24
TL006123,24
TL006124,24
TL006125,24
TL006126,24
TL006127,24
TL006128,24
TL006129,24
TL007120,24
TL007121,24
TL007122,24
TL007123,24
TL007124,24
TL007125,24
TL007126,24
TL007127,24
TL007128,24
TL007129,24
TL008120,24
TL008121,24
TL008122,24
TL008123,24
TL008124,24
TL008125,24
TL008126,24
TL008127,24
TL008128,24
TL008129,24
TL009120,24
TL009121,24
TL009122,24
TL009123,24
TL009124,24
TL009125,24
TL009126,24
TL009127,24
TL009128,24
TL009129,24
TL0013,20+24
TL000130,20
TL000131,20
TL000132,20
TL000133,20
TL000134,20
TL000135,20
TL000136,20
TL000137,20
TL000138,20
TL000139,20
TL001130,20
TL001131,20
TL001132,20
TL001133,20
TL001134,20
TL001135,20
TL001136,20
TL001137,20
TL001138,20
TL001139,20
TL002130,20+24
TL002131,20+24
TL002132,20+24
TL002133,20+24
TL002134,20+24
TL002135,20+24
TL002136,20+24
TL002137,20+24
TL002138,20
TL002139,20
TL003130,24
TL003131,24
TL003132,24
TL003133,20+24
TL003134,20+24
TL003135,20+24
TL003136,20+24
TL003137,20+24
TL003138,20+24
TL003139,20+24
TL004130,24
TL004131,24
TL004132,24
TL004133,24
TL004134,24
TL004135,24
TL004136,24
TL004137,24
TL004138,24
TL004139,20+24
TL005130,24
TL005131,24
TL005132,24
TL005133,24
TL005134,24
TL005135,24
TL005136,24
TL005137,24
TL005138,24
TL005139,20+24
TL006130,24
TL006131,24
TL006132,24
TL006133,24
TL006134,24
TL006135,24
TL006136,24
TL006137,24
TL006138,24
TL006139,20+24
TL007130,24
TL007131,24
TL007132,24
TL007133,24
TL007134,24
TL007135,24
TL007136,24
TL007137,24
TL007138,20+24
TL007139,20+24
TL008130,24
TL008131,24
TL008132,24
TL008133,24
TL008134,24
TL008135,24
TL008136,24
TL008137,24
TL008138,20+24
TL008139,20
TL009130,24
TL009131,24
TL009132,24
