TA,0+54+61+62
TA041231,54
TA041232,54
TA041233,54
TA041234,54
TA041235,54
TA041236,54
TA041237,0+54
TA041238,0
TA041239,0
TA042230,54
TA042231,54
TA042232,54
TA042233,54
TA042234,54
TA042235,54
TA042236,54
TA042237,0+54
TA042238,0+54
TA042239,0
TA043230,54
TA043231,54
TA043232,54
TA043233,54
TA043234,54
TA043235,54
TA043236,54
TA043237,0+54
TA043238,0+54
TA043239,0
TA044230,54
TA044231,54
TA044232,54
TA044233,54
TA044234,54
TA044235,54
TA044236,54
TA044237,54
TA044238,0+54
TA044239,0
TA045230,54
TA045231,54
TA045232,54
TA045233,54
TA045234,54
TA045235,54
TA045236,54
TA045237,54
TA045238,0+54
TA045239,0
TA046230,54
TA046231,54
TA046232,54
TA046233,54
TA046234,54
TA046235,54
TA046236,54
TA046237,54
TA046238,0+54
TA046239,0
TA047230,54
TA047231,54
TA047232,54
TA047233,54
TA047234,54
TA047235,54
TA047236,54
TA047237,54
TA047238,0+54
TA047239,0
TA048230,54
TA048231,54
TA048232,54
TA048233,54
TA048234,54
TA048235,54
TA048236,54
TA048237,54
TA048238,0+54
TA048239,0
TA049230,54
TA049231,54
TA049232,54
TA049233,54
TA049234,54
TA049235,54
TA049236,54
TA049237,54
TA049238,0+54
TA049239,0+54
TA0522,54
TA0523,0+54
TA050230,54
TA050231,54
TA050232,54
TA050233,54
TA050234,54
TA050235,54
TA050236,54
TA050237,54
TA050238,54
TA050239,0+54
TA051230,54
TA051231,54
TA051232,54
TA051233,54
TA051234,54
TA051235,54
TA051236,54
TA051237,54
TA051238,0+54
TA051239,0+54
TA052230,54
TA052231,54
TA052232,54
TA052233,54
TA052234,54
TA052235,54
TA052236,54
TA052237,54
TA052238,0+54
TA052239,0
TA053230,54
TA053231,54
TA053232,54
TA053233,54
TA053234,54
TA053235,54
TA053236,54
TA053237,54
TA053238,0+54
TA053239,0
TA054230,54
TA054231,54
TA054232,54
TA054233,54
TA054234,54
TA054235,54
TA054236,54
TA054237,54
TA054238,0+54
TA054239,0+54
TA055230,54
TA055231,54
TA055232,54
TA055233,54
TA055234,54
TA055235,54
TA055236,54
TA055237,54
TA055238,54
TA055239,0+54
TA056230,54
TA056231,54
TA056232,54
TA056233,54
TA056234,54
TA056235,54
TA056236,54
TA056237,54
TA056238,54
TA056239,0+54
TA057230,54
TA057231,54
TA057232,54
TA057233,54
TA057234,54
TA057235,54
TA057236,54
TA057237,54
TA057238,54
TA057239,0+54
TA058230,54
TA058231,54
TA058232,54
TA058233,54
TA058234,54
TA058235,54
TA058236,54
TA058237,54
TA058238,54
TA058239,0+54
TA059230,54
TA059231,54
TA059232,54
TA059233,54
TA059234,54
TA059235,54
TA059236,54
TA059237,54
TA059238,54
TA059239,0+54
TA02M,0+61
TA0424,0
TA0425,0+61
TA040250,0
TA040251,0
TA040252,0
TA040253,0
TA040254,0
TA040255,0
TA040256,0
TA040257,0+61
TA040258,61
TA040259,61
TA041250,0
TA041251,0
TA041252,0
TA041253,0
TA041254,0
TA041255,0
TA041256,0
TA041257,0+61
TA041258,0+61
TA041259,61
TA042250,0
TA042251,0
TA042252,0
TA042253,0
TA042254,0
TA042255,0
TA042256,0
TA042257,0
TA042258,0+61
TA042259,61
TA043250,0
TA043251,0
TA043252,0
TA043253,0
TA043254,0
TA043255,0
TA043256,0
TA043257,0
TA043258,0+61
TA043259,61
TA044250,0
TA044251,0
TA044252,0
TA044253,0
TA044254,0
TA044255,0
TA044256,0
TA044257,0
TA044258,0+61
TA044259,0+61
TA045250,0
TA045251,0
TA045252,0
TA045253,0
TA045254,0
TA045255,0
TA045256,0
TA045257,0
TA045258,0
TA045259,0+61
TA046250,0
TA046251,0
TA046252,0
TA046253,0
TA046254,0
TA046255,0
TA046256,0
TA046257,0
TA046258,0
TA046259,0+61
TA047250,0
TA047251,0
TA047252,0
TA047253,0
TA047254,0
TA047255,0
TA047256,0
TA047257,0
TA047258,0
TA047259,0+61
TA048250,0
TA048251,0
TA048252,0
TA048253,0
TA048254,0
TA048255,0
TA048256,0
TA048257,0
TA048258,0
TA048259,0
TA049250,0
TA049251,0
TA049252,0
TA049253,0
TA049254,0
TA049255,0
TA049256,0
TA049257,0
TA049258,0
TA049259,0
TA0524,0
TA0525,0
TA02N,0+61
TA0426,0+61
TA040260,61
TA040261,61
TA040262,61
TA040263,61
TA040264,61
TA040265,61
TA040266,61
TA040267,61
TA040268,61
TA040269,61
TA041260,61
TA041261,61
TA041262,61
TA041263,61
TA041264,61
TA041265,61
TA041266,61
TA041267,61
TA041268,61
TA041269,61
TA042260,61
TA042261,61
TA042262,61
TA042263,61
TA042264,61
TA042265,61
TA042266,61
TA042267,61
TA042268,61
TA042269,61
TA043260,61
TA043261,61
TA043262,61
TA043263,61
TA043264,61
TA043265,61
TA043266,61
TA043267,61
TA043268,61
TA043269,61
TA044260,61
TA044261,61
TA044262,61
TA044263,61
TA044264,61
TA044265,61
TA044266,61
TA044267,61
TA044268,61
TA044269,61
TA045260,61
TA045261,61
TA045262,61
TA045263,61
TA045264,61
TA045265,61
TA045266,61
TA045267,61
TA045268,61
TA045269,61
TA046260,61
TA046261,61
TA046262,61
TA046263,61
TA046264,61
TA046265,61
TA046266,61
TA046267,61
TA046268,61
TA046269,61
TA047260,0+61
TA047261,61
TA047262,61
TA047263,61
TA047264,61
TA047265,61
TA047266,61
TA047267,61
TA047268,61
TA047269,61
TA048260,0+61
TA048261,61
TA048262,61
TA048263,61
TA048264,61
TA048265,61
TA048266,61
TA048267,61
TA048268,61
TA048269,61
TA049260,0+61
TA049261,61
TA049262,61
TA049263,61
TA049264,61
TA049265,61
TA049266,61
TA049267,61
TA049268,61
TA049269,61
TA0427,61
TA0526,0+61
TA050260,0+61
TA050261,61
TA050262,61
TA050263,61
TA050264,61
TA050265,61
TA050266,61
TA050267,61
TA050268,61
TA050269,61
TA051260,0
TA051261,0+61
TA051262,61
TA051263,61
TA051264,61
TA051265,61
TA051266,61
TA051267,61
TA051268,61
TA051269,61
TA052260,0
TA052261,0+61
TA052262,61
TA052263,61
TA052264,61
TA052265,61
TA052266,61
TA052267,61
TA052268,61
TA052269,61
TA053260,0
TA053261,0+61
TA053262,61
TA053263,61
TA053264,61
TA053265,61
TA053266,61
TA053267,61
TA053268,61
TA053269,61
TA054260,0
TA054261,0+61
TA054262,61
TA054263,61
TA054264,61
TA054265,61
TA054266,61
TA054267,61
TA054268,61
TA054269,61
TA055260,0
TA055261,0+61
TA055262,0+61
TA055263,61
TA055264,61
TA055265,61
TA055266,61
TA055267,61
TA055268,61
TA055269,61
TA056260,0
TA056261,0
TA056262,0+61
TA056263,61
TA056264,61
TA056265,61
TA056266,61
TA056267,61
TA056268,61
TA056269,61
TA057260,0
TA057261,0
TA057262,0+61
TA057263,61
TA057264,61
TA057265,61
TA057266,61
TA057267,61
TA057268,61
TA057269,61
TA058260,0
TA058261,0
TA058262,0+61
TA058263,61
TA058264,61
TA058265,61
TA058266,61
TA058267,61
TA058268,61
TA058269,61
TA059260,0
TA059261,0
TA059262,0+61
TA059263,0+61
TA059264,61
TA059265,61
TA059266,61
TA059267,61
TA059268,61
TA059269,61
TA0527,61
TA02P,61
TA02Q,54
TA02R,0+54
TA0622,54
TA0623,0+54
TA060230,54
TA060231,54
TA060232,54
TA060233,54
TA060234,54
TA060235,54
TA060236,54
TA060237,0+54
TA060238,0+54
TA060239,0+54
TA061230,54
TA061231,54
TA061232,54
TA061233,54
TA061234,54
TA061235,0+54
TA061236,0+54
TA061237,0+54
TA061238,0+54
TA061239,0+54
TA062230,54
TA062231,54
TA062232,54
TA062233,54
TA062234,54
TA062235,54
TA062236,54
TA062237,54
TA062238,54
TA062239,54
TA063230,54
TA063231,54
TA063232,54
TA063233,54
TA063234,54
TA063235,54
TA063236,54
TA063237,54
TA063238,54
TA063239,54
TA064230,54
TA064231,54
TA064232,54
TA064233,54
TA064234,54
TA064235,54
TA064236,54
TA064237,54
TA064238,54
TA064239,54
TA065230,54
TA065231,54
TA065232,54
TA065233,54
TA065234,54
TA065235,54
TA065236,54
TA065237,54
TA065238,54
TA065239,54
TA066230,54
TA066231,54
TA066232,54
TA066233,54
TA066234,54
TA066235,54
TA066236,54
TA066237,54
TA066238,54
TA066239,54
TA067230,54
TA067231,54
TA067232,54
TA067233,54
TA067234,54
TA067235,54
TA067236,54
TA067237,54
TA067238,54
TA067239,54
TA068230,54
TA068231,54
TA068232,54
TA068233,54
TA068234,54
TA068235,54
TA068236,54
TA068237,54
