TG,0+25+27+28
TG021072,28
TG021073,28
TG021074,28
TG021075,28
TG021076,28
TG021077,28
TG021078,28
TG021079,28
TG022070,28
TG022071,28
TG022072,28
TG022073,28
TG022074,28
TG022075,28
TG022076,28
TG022077,28
TG022078,28
TG022079,28
TG023070,28
TG023071,28
TG023072,28
TG023073,28
TG023074,28
TG023075,28
TG023076,28
TG023077,28
TG023078,28
TG023079,28
TG024070,28
TG024071,28
TG024072,28
TG024073,28
TG024074,28
TG024075,28
TG024076,28
TG024077,28
TG024078,28
TG024079,28
TG025070,28
TG025071,28
TG025072,28
TG025073,28
TG025074,28
TG025075,28
TG025076,28
TG025077,28
TG025078,28
TG025079,28
TG026070,28
TG026071,28
TG026072,28
TG026073,28
TG026074,28
TG026075,28
TG026076,28
TG026077,28
TG026078,28
TG026079,28
TG027070,28
TG027071,28
TG027072,28
TG027073,28
TG027074,28
TG027075,28
TG027076,28
TG027077,28
TG027078,28
TG027079,28
TG028070,28
TG028071,28
TG028072,28
TG028073,28
TG028074,28
TG028075,28
TG028076,28
TG028077,28
TG028078,28
TG028079,28
TG029070,28
TG029071,28
TG029072,28
TG029073,28
TG029074,28
TG029075,27+28
TG029076,27+28
TG029077,27+28
TG029078,27+28
TG029079,27+28
TG0306,27+28
TG030060,27+28
TG030061,27+28
TG030062,27+28
TG030063,27+28
TG030064,27+28
TG030065,27+28
TG030066,27+28
TG030067,27+28
TG030068,27+28
TG030069,27+28
TG031060,27
TG031061,27
TG031062,27
TG031063,27
TG031064,27
TG031065,27
TG031066,27
TG031067,27
TG031068,27
TG031069,27
TG032060,27
TG032061,27
TG032062,27
TG032063,27
TG032064,27
TG032065,27
TG032066,27
TG032067,27
TG032068,27
TG032069,27
TG033060,27
TG033061,27
TG033062,27
TG033063,27
TG033064,27
TG033065,27
TG033066,27
TG033067,27
TG033068,27
TG033069,27
TG034060,27
TG034061,27
TG034062,27
TG034063,27
TG034064,27
TG034065,27
TG034066,27
TG034067,27
TG034068,27
TG034069,27
TG035060,27
TG035061,27
TG035062,27
TG035063,27
TG035064,27
TG035065,27
TG035066,27
TG035067,27
TG035068,27
TG035069,27
TG036060,27
TG036061,27
TG036062,27
TG036063,27
TG036064,27
TG036065,27
TG036066,27
TG036067,27
TG036068,27
TG036069,27
TG037060,27
TG037061,27
TG037062,27
TG037063,27
TG037064,27
TG037065,27
TG037066,27
TG037067,27
TG037068,27
TG037069,27
TG038060,27
TG038061,27
TG038062,27
TG038063,27
TG038064,27
TG038065,27
TG038066,27
TG038067,27
TG038068,27
TG038069,27
TG039060,27
TG039061,27
TG039062,27
TG039063,27
TG039064,27
TG039065,27
TG039066,27
TG039067,27
TG039068,27
TG039069,27
TG0307,27+28
TG030070,27+28
TG030071,27+28
TG030072,27+28
TG030073,27+28
TG030074,27+28
TG030075,27+28
TG030076,27
TG030077,27
TG030078,27
TG030079,27
TG031070,27
TG031071,27
TG031072,27
TG031073,27
TG031074,27
TG031075,27
TG031076,27
TG031077,27
TG031078,27
TG031079,27
TG032070,27
TG032071,27
TG032072,27
TG032073,27
TG032074,27
TG032075,27
TG032076,27
TG032077,27
TG032078,27
TG032079,27
TG033070,27
TG033071,27
TG033072,27
TG033073,27
TG033074,27
TG033075,27
TG033076,27
TG033077,27
TG033078,27
TG033079,27
TG034070,27
TG034071,27
TG034072,27
TG034073,27
TG034074,27
TG034075,27
TG034076,27
TG034077,27
TG034078,27
TG034079,27
TG035070,27
TG035071,27
TG035072,27
TG035073,27
TG035074,27
TG035075,27
TG035076,27
TG035077,27
TG035078,27
TG035079,27
TG036070,27
TG036071,27
TG036072,27
TG036073,27
TG036074,27
TG036075,27
TG036076,27
TG036077,27
TG036078,27
TG036079,27
TG037070,27
TG037071,27
TG037072,27
TG037073,27
TG037074,27
TG037075,27
TG037076,27
TG037077,27
TG037078,27
TG037079,27
TG038070,27
TG038071,27
TG038072,27
TG038073,27
TG038074,27
TG038075,27
TG038076,27
TG038077,27
TG038078,27
TG038079,27
TG039070,27
TG039071,27
TG039072,27
TG039073,27
TG039074,27
TG039075,27
TG039076,27
TG039077,27
TG039078,27
TG039079,27
TG00J,27+28
TG0208,27+28
TG020080,28
TG020081,28
TG020082,28
TG020083,28
TG020084,28
TG020085,28
TG020086,28
TG020087,28
TG020088,28
TG020089,28
TG021080,28
TG021081,28
TG021082,28
TG021083,28
TG021084,28
TG021085,28
TG021086,28
TG021087,28
TG021088,28
TG021089,28
TG022080,28
TG022081,28
TG022082,28
TG022083,28
TG022084,28
TG022085,28
TG022086,28
TG022087,28
TG022088,28
TG022089,28
TG023080,28
TG023081,28
TG023082,28
TG023083,28
TG023084,28
TG023085,28
TG023086,28
TG023087,28
TG023088,28
TG023089,28
TG024080,28
TG024081,28
TG024082,28
TG024083,28
TG024084,28
TG024085,28
TG024086,28
TG024087,28
TG024088,28
TG024089,28
TG025080,28
TG025081,28
TG025082,28
TG025083,28
TG025084,28
TG025085,28
TG025086,28
TG025087,28
TG025088,28
TG025089,28
TG026080,28
TG026081,28
TG026082,28
TG026083,28
TG026084,28
TG026085,28
TG026086,28
TG026087,28
TG026088,28
TG026089,28
TG027080,28
TG027081,28
TG027082,28
TG027083,28
TG027084,28
TG027085,28
TG027086,28
TG027087,28
TG027088,28
TG027089,28
TG028080,28
TG028081,28
TG028082,28
TG028083,28
TG028084,28
TG028085,28
TG028086,28
TG028087,28
TG028088,28
TG028089,28
TG029080,27+28
TG029081,27+28
TG029082,27+28
TG029083,27+28
TG029084,27+28
TG029085,27+28
TG029086,27+28
TG029087,27+28
TG029088,27+28
TG029089,27+28
TG0209,27+28
TG020090,28
TG020091,28
TG020092,28
TG020093,28
TG020094,28
TG020095,28
TG020096,28
TG020097,28
TG020098,28
TG020099,28
TG021090,28
TG021091,28
TG021092,28
TG021093,28
TG021094,28
TG021095,28
TG021096,28
TG021097,28
TG021098,28
TG021099,28
TG022090,28
TG022091,28
TG022092,28
TG022093,28
TG022094,28
TG022095,28
TG022096,28
TG022097,28
TG022098,28
TG022099,28
TG023090,28
TG023091,28
TG023092,28
TG023093,28
TG023094,28
TG023095,28
TG023096,28
TG023097,28
TG023098,28
TG023099,28
TG024090,28
TG024091,28
TG024092,28
TG024093,28
TG024094,28
TG024095,28
TG024096,28
TG024097,28
TG024098,28
TG024099,28
TG025090,28
TG025091,28
TG025092,28
TG025093,28
TG025094,28
TG025095,28
TG025096,28
TG025097,28
TG025098,28
TG025099,28
TG026090,28
TG026091,28
TG026092,28
TG026093,28
TG026094,28
TG026095,28
TG026096,28
TG026097,28
TG026098,28
TG026099,28
TG027090,28
TG027091,28
TG027092,28
TG027093,28
TG027094,28
TG027095,28
TG027096,28
TG027097,28
TG027098,28
TG027099,28
TG028090,28
TG028091,28
TG028092,28
TG028093,28
TG028094,28
TG028095,28
TG028096,28
TG028097,28
TG028098,28
TG028099,28
TG029090,27+28
TG029091,27+28
TG029092,27+28
TG029093,27+28
TG029094,27+28
TG029095,27+28
TG029096,27+28
TG029097,27+28
TG029098,27+28
TG029099,27+28
TG0308,27
TG0309,27
TG00K,27
TG00L,27
TG00M,27
TG00N,27
TG00P,27
TG00Q,27
TG00R,27
TG00S,27
TG00T,27
TG00U,27
TG00V,27
TG00W,27
TG00X,27
TG00Y,27
TG00Z,27
TG01,27+28
TG01SW,27+28
TG01NW,27+28
TG01SE,27
TG01NE,27
TG01A,28
TG01B,28
TG01C,28
