SY,0+3+9
SY065818,3
SY065819,3
SY066810,0
SY066811,0
SY066812,0
SY066813,0
SY066814,0
SY066815,0
SY066816,0
SY066817,0+3
SY066818,0+3
SY066819,3
SY067810,0
SY067811,0
SY067812,0
SY067813,0
SY067814,0
SY067815,0
SY067816,0
SY067817,0
SY067818,0+3
SY067819,3
SY068810,0
SY068811,0
SY068812,0
SY068813,0
SY068814,0
SY068815,0
SY068816,0
SY068817,0
SY068818,0+3
SY068819,3
SY069810,0
SY069811,0
SY069812,0
SY069813,0
SY069814,0
SY069815,0
SY069816,0
SY069817,0
SY069818,0+3
SY069819,3
SY0780,0
SY0781,0+3
SY070810,0
SY070811,0
SY070812,0
SY070813,0
SY070814,0
SY070815,0
SY070816,0
SY070817,0
SY070818,0+3
SY070819,0+3
SY071810,0
SY071811,0
SY071812,0
SY071813,0
SY071814,0
SY071815,0
SY071816,0
SY071817,0
SY071818,0
SY071819,0+3
SY072810,0
SY072811,0
SY072812,0
SY072813,0
SY072814,0
SY072815,0
SY072816,0
SY072817,0
SY072818,0
SY072819,0+3
SY073810,0
SY073811,0
SY073812,0
SY073813,0
SY073814,0
SY073815,0
SY073816,0
SY073817,0
SY073818,0
SY073819,0+3
SY074810,0
SY074811,0
SY074812,0
SY074813,0
SY074814,0
SY074815,0
SY074816,0
SY074817,0
SY074818,0
SY074819,0+3
SY075810,0
SY075811,0
SY075812,0
SY075813,0
SY075814,0
SY075815,0
SY075816,0
SY075817,0
SY075818,0+3
SY075819,0+3
SY076810,0
SY076811,0
SY076812,0
SY076813,0
SY076814,0
SY076815,0
SY076816,0+3
SY076817,0+3
SY076818,0+3
SY076819,3
SY077810,0
SY077811,0
SY077812,0
SY077813,0
SY077814,0
SY077815,0
SY077816,0+3
SY077817,0+3
SY077818,3
SY077819,3
SY078810,0
SY078811,0
SY078812,0
SY078813,0
SY078814,0
SY078815,0
SY078816,0
SY078817,0+3
SY078818,0+3
SY078819,3
SY079810,0
SY079811,0
SY079812,0
SY079813,0
SY079814,0
SY079815,0
SY079816,0
SY079817,0
SY079818,0+3
SY079819,0+3
SY08R,3
SY08S,3
SY08T,3
SY08U,3
SY08V,0+3
SY0880,0
SY0881,0+3
SY080810,0
SY080811,0
SY080812,0
SY080813,0
SY080814,0
SY080815,0
SY080816,0
SY080817,0
SY080818,0
SY080819,0+3
SY081810,0
SY081811,0
SY081812,0
SY081813,0
SY081814,0
SY081815,0
SY081816,0
SY081817,0
SY081818,0
SY081819,0
SY082810,0
SY082811,0
SY082812,0
SY082813,0
SY082814,0
