NY,0+65+66+67+68+69+70+72+73+80
NY00,0+70
NY00SW,0+70
NY00NW,0+70
NY021023,70
NY021024,70
NY021025,70
NY021026,70
NY021027,70
NY021028,70
NY021029,70
NY022020,0+70
NY022021,0+70
NY022022,70
NY022023,70
NY022024,70
NY022025,70
NY022026,70
NY022027,70
NY022028,70
NY022029,70
NY023020,70
NY023021,70
NY023022,70
NY023023,70
NY023024,70
NY023025,70
NY023026,70
NY023027,70
NY023028,70
NY023029,70
NY024020,70
NY024021,70
NY024022,70
NY024023,70
NY024024,70
NY024025,70
NY024026,70
NY024027,70
NY024028,70
NY024029,70
NY025020,70
NY025021,70
NY025022,70
NY025023,70
NY025024,70
NY025025,70
NY025026,70
NY025027,70
NY025028,70
NY025029,70
NY026020,70
NY026021,70
NY026022,70
NY026023,70
NY026024,70
NY026025,70
NY026026,70
NY026027,70
NY026028,70
NY026029,70
NY027020,70
NY027021,70
NY027022,70
NY027023,70
NY027024,70
NY027025,70
NY027026,70
NY027027,70
NY027028,70
NY027029,70
NY028020,70
NY028021,70
NY028022,70
NY028023,70
NY028024,70
NY028025,70
NY028026,70
NY028027,70
NY028028,70
NY028029,70
NY029020,70
NY029021,70
NY029022,70
NY029023,70
NY029024,70
NY029025,70
NY029026,70
NY029027,70
NY029028,70
NY029029,70
NY0203,70
NY0302,70
NY0303,70
NY00H,70
NY00I,70
NY00J,70
NY00K,70
NY00L,70
NY00M,70
NY00N,70
NY00P,70
NY00Q,70
NY00R,70
NY00S,70
NY00T,70
NY00U,70
NY00V,70
NY00W,70
NY00X,70
NY00Y,70
NY00Z,70
NY01,70
NY02,70
NY03,0+70
NY03SW,0+70
NY03NW,0+70
NY03SE,70
NY03NE,0+70
NY03A,70
NY03B,0+70
NY0032,0+70
NY000320,0+70
NY000321,0+70
NY000322,70
NY000323,0+70
NY000324,0+70
NY000325,0+70
NY000326,0+70
NY000327,0
NY000328,0
NY000329,0
NY001320,70
NY001321,70
NY001322,70
NY001323,70
NY001324,70
NY001325,0+70
NY001326,0+70
NY001327,0
NY001328,0
NY001329,0
NY002320,70
NY002321,70
NY002322,70
NY002323,70
NY002324,70
NY002325,70
NY002326,0+70
NY002327,0+70
NY002328,0
NY002329,0
NY003320,70
NY003321,70
NY003322,70
NY003323,70
NY003324,70
NY003325,70
NY003326,70
NY003327,0+70
NY003328,0+70
NY003329,0
NY004320,70
NY004321,70
NY004322,70
NY004323,70
NY004324,70
NY004325,70
NY004326,70
NY004327,70
NY004328,0+70
NY004329,0
NY005320,70
NY005321,70
NY005322,70
NY005323,70
NY005324,70
NY005325,70
NY005326,70
NY005327,70
NY005328,0+70
NY005329,0+70
NY006320,70
NY006321,70
NY006322,70
NY006323,70
NY006324,70
NY006325,70
NY006326,70
NY006327,70
NY006328,70
NY006329,70
NY007320,70
NY007321,70
NY007322,70
NY007323,70
NY007324,70
NY007325,70
NY007326,70
NY007327,70
NY007328,70
NY007329,70
NY008320,70
NY008321,70
NY008322,70
NY008323,70
NY008324,70
NY008325,70
NY008326,70
NY008327,70
NY008328,70
NY008329,70
NY009320,70
NY009321,70
NY009322,70
NY009323,70
NY009324,70
NY009325,70
NY009326,70
NY009327,70
NY009328,70
NY009329,70
NY0033,0+70
NY000330,0
NY000331,0
NY000332,0
NY000333,0
NY000334,0
NY000335,0
NY000336,0
NY000337,0
NY000338,0
NY000339,0
NY001330,0
NY001331,0
NY001332,0
NY001333,0
NY001334,0
NY001335,0
NY001336,0
NY001337,0
NY001338,0
NY001339,0
NY002330,0
NY002331,0
NY002332,0
NY002333,0
NY002334,0
NY002335,0
NY002336,0
NY002337,0
NY002338,0
NY002339,0
NY003330,0
NY003331,0
NY003332,0
NY003333,0
NY003334,0
NY003335,0
NY003336,0
NY003337,0
NY003338,0
NY003339,0
NY004330,0
NY004331,0
NY004332,0
NY004333,0
NY004334,0
NY004335,0
NY004336,0
NY004337,0
NY004338,0
NY004339,0
NY005330,0+70
NY005331,0
NY005332,0
NY005333,0
NY005334,0
NY005335,0
NY005336,0
NY005337,0
NY005338,0
NY005339,0
NY006330,0+70
NY006331,0
NY006332,0
NY006333,0
NY006334,0
NY006335,0
NY006336,0
NY006337,0
NY006338,0
NY006339,0
NY007330,0+70
NY007331,0
NY007332,0
NY007333,0
NY007334,0
NY007335,0
NY007336,0
NY007337,0
NY007338,0
NY007339,0
NY008330,0+70
NY008331,0+70
NY008332,0
NY008333,0
NY008334,0
NY008335,0
NY008336,0
NY008337,0
NY008338,0
NY008339,0
NY009330,70
NY009331,0+70
NY009332,0+70
NY009333,0
NY009334,0
NY009335,0
NY009336,0
NY009337,0
NY009338,0
NY009339,0
NY0132,70
NY0133,0+70
NY010330,70
NY010331,70
NY010332,0+70
NY010333,0+70
NY010334,0
NY010335,0
NY010336,0
